##4000550		
Whenever	whenever	rrqv
the	the	at
days	day	nnt2
when	when	rrq
I	i	ppis1
myself	myself	ppx1
was	be	vbdz
trying	try	vvg
to	to	to
hold	hold	vvi
out	out	rp
against	against	ii
grade	grade	nn1
inflation	inflation	nn1
,	,	y
I	i	ppis1
'd	have	vm
give	give	vvi
a	a	at1
little	little	jj
talk	talk	nn1
at	at	ii
the	the	at
beginning	beginning	nn1
of	of	io
the	the	at
course	course	nn1
about	about	ii
why	why	rrq
inflated	inflated	jj
grades	grade	nn2
hurt	hurt	vv0_vvd_vvn
everyone	everyone	pn1
,	,	y
teachers	teacher	nn2
and	and	cc
students	student	nn2
and	and	cc
higher	high	jjr
learning	learning	nn1
as	as	ii_csa
a	a	at1
total	total	jj
enterprise	enterprise	nn1
.	.	y
I	i	ppis1
'd	have	vm
begin	begin	vvi
by	by	ii
putting	put	vvg
a	a	at1
certain	certain	jj
sentence	sentence	nn1
on	on	ii
the	the	at
board	board	nn1
and	and	cc
asking	ask	vvg
the	the	at
class	class	nn1
what	what	ddq
was	be	vbdz
wrong	wrong	jj_rr@
with	with	iw
it	it	pph1
.	.	y
The	the	at
sentence	sentence	nn1
was	be	vbdz
this	this	dd1
:	:	y
<p>	<p>	y
Every	every	at1
student	student	nn1
in	in	ii
this	this	dd1
room	room	nn1
is	be	vbz
taller	tall	jjr
than	than	csn
the	the	at
height	height	nn1
of	of	io
the	the	at
average	average	jj_nn1
student	student	nn1
in	in	ii
this	this	dd1
room	room	nn1
.	.	y
<p>	<p>	y
"	"	y
What	what	ddq
,	,	y
"	"	y
I	i	ppis1
would	would	vm
ask	ask	vvi
,	,	y
"	"	y
is	be	vbz
wrong	wrong	jj_rr@
with	with	iw
that	that	dd1
sentence	sentence	nn1
?	?	y
"	"	y
Some	some	dd
would	would	vm
look	look	vvi
a	a	rr21
bit	bit	rr22
puzzled	puzzled	jj_vvd@
,	,	y
but	but	ccb
most	most	dat
would	would	vm
get	get	vvi
the	the	at
point	point	nn1
instantly	instantly	rr
:	:	y
"	"	y
It	it	pph1
's	be	vbz
a	a	at1
contradiction	contradiction	nn1
in	in	ii
terms	term	nn2
,	,	y
"	"	y
"	"	y
Whoever	whoever	pnqv
wrote	write	vvd
that	that	cst_dd1
does	do	vdz
n't	n't	xx
know	know	vvi
what	what	ddq
'	'	x         
average	average	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
than	than	csn
everybody	everybody	pn1
else	else	rr
.	.	y
"	"	y
Then	then	rt
I	i	ppis1
'd	have	vm
ask	ask	vvi
,	,	y
with	with	iw
as	as	rg
much	much	da1_rr
outward	outward	jj
innocence	innocence	nn1
as	as	csa
I	i	ppis1
could	could	vm
muster	muster	vvi
,	,	y
"	"	y
But	but	ccb
what	what	ddq
if	if	cs
it	it	pph1
were	be	vbdr
a	a	at1
really	really	rr
tall	tall	jj
group	group	nn1
.	.	y
What	what	ddq
if	if	cs
it	it	pph1
were	be	vbdr
an	a	at1
NBA	nba	nn1
team	team	nn1
,	,	y
with	with	iw
everybody	everybody	pn1
at	at	rr21
least	least	rr22
6-feet-5-inches	6-feet-5-inches	nnu2
tall	tall	jj
?	?	y
"	"	y
And	and	cc
the	the	at
students	student	nn2
would	would	vm
get	get	vvi
impatient	impatient	jj
:	:	y
"	"	y
That	that	dd1
does	do	vdz
n't	n't	xx
change	change	vvi
anything	anything	pn1
--	--	x
it	it	pph1
's	be	vbz
the	the	at
average	average	nn1_jj
we	we	ppis2
're	be	vbr
supposed	supposed	jj
to	to	to
be	be	vbi
talking	talk	vvg
about	about	ii
.	.	y
"	"	y
Then	then	rt
,	,	y
looking	look	vvg
resigned	resigned	jj
,	,	y
as	as	cs21
though	though	cs22
I	i	ppis1
did	do	vdd
n't	n't	xx
quite	quite	rr@
grasp	grasp	vvi
their	their	appge
point	point	nn1
but	but	ccb
felt	feel	vvd
myself	myself	ppx1
to	to	to
have	have	vhi
been	be	vbn
shouted	shout	vvn@
down	down	rp
by	by	ii
their	their	appge
collective	collective	jj_nn1
sense	sense	nn1
of	of	io
logical	logical	jj
outrage	outrage	nn1
,	,	y
I	i	ppis1
'd	have	vm
put	put	vvi
another	another	dd1
sentence	sentence	nn1
on	on	ii
the	the	at
board	board	nn1
:	:	y
<p>	<p>	y
Every	every	at1
student	student	nn1
in	in	ii
the	the	at
course	course	nn1
got	get	vvd_vvn
an	a	at1
A	a	zz1
for	for	if
the	the	at
course	course	nn1
.	.	y
<p>	<p>	y
"	"	y
Now	now	rt
,	,	y
"	"	y
I	i	ppis1
'd	have	vm
say	say	vvi
,	,	y
with	with	iw
an	a	at1
air	air	nn1
of	of	io
spurious	spurious	jj
puzzlement	puzzlement	nn1
.	.	y
"	"	y
Is	be	vbz
there	there	ex
anything	anything	pn1
wrong	wrong	jj_rr@
with	with	iw
that	that	dd1
sentence	sentence	nn1
?	?	y
"	"	y
And	and	cc
this	this	dd1
time	time	nnt1
,	,	y
invariably	invariably	rr
,	,	y
I	i	ppis1
would	would	vm
get	get	vvi
blankness	blankness	nn1
.	.	y
Not	not	xx
assumed	assume	vvn_jj@
blankness	blankness	nn1
,	,	y
or	or	cc
embarrassed	embarrassed	jj
blankness	blankness	nn1
,	,	y
or	or	cc
nervous	nervous	jj
blankness	blankness	nn1
,	,	y
but	but	ccb
genuine	genuine	jj
incomprehension	incomprehension	nn1
.	.	y
Even	even	rr
the	the	at
brightest	bright	jjt
students	student	nn2
in	in	ii
the	the	at
class	class	nn1
would	would	vm
honestly	honestly	rr
not	not	xx
see	see	vvi
that	that	cst
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
sentence	sentence	nn1
was	be	vbdz
logically	logically	rr
analogous	analogous	jj
to	to	ii
the	the	at
first	first	md
.	.	y
It	it	pph1
was	be	vbdz
then	then	rt
that	that	cst
I	i	ppis1
realized	realize	vvd
that	that	cst_dd1
grade	grade	vv0_nn1
inflation	inflation	nn1
represents	represent	vvz
not	not	xx
simply	simply	rr
a	a	at1
local	local	jj
problem	problem	nn1
in	in	ii
American	american	jj
higher	high	jjr
education	education	nn1
,	,	y
but	but	ccb
an	a	at1
Alice-in-Wonderland	alice-in-wonderland	np1
irreality	irreality	nn1
that	that	cst_dd1
has	have	vhz
all	all	db
of	of	io
us	us	ppio2
,	,	y
students	student	nn2
and	and	cc
professors	professor	nn2
and	and	cc
administrators	administrator	nn2
,	,	y
under	under	ii
its	its	z'
spell	spell	nn1
.	.	y
<p>	<p>	y
It	it	pph1
was	be	vbdz
n't	n't	xx
until	until	cs_ii@
my	my	appge
student	student	nn1
began	begin	vvd
working	work	vvg
on	on	ii_rp@
her	her	appge
survey	survey	nn1
of	of	io
cheating	cheat	vvg
at	at	ii
Rutgers	rutgers	np1_nn2
,	,	y
though	though	cs_rr@
,	,	y
that	that	cst
I	i	ppis1
began	begin	vvd
to	to	to
understand	understand	vvi
the	the	at
deeper	deep	jjr
sense	sense	nn1
in	in	ii
which	which	ddq
grade	grade	vv0_nn1
inflation	inflation	nn1
promotes	promote	vvz
cheating	cheat	vvg_nn1@_jj@
.	.	y
This	this	dd1
is	be	vbz
where	where	rrq
what	what	ddq
I	i	ppis1
called	call	vvd@
the	the	at
second	second	md
level	level	nn1
of	of	io
the	the	at
Rounders	rounders	nn1
episode	episode	nn1
comes	come	vvz
into	into	ii
play	play	nn1
.	.	y
In	in	ii
the	the	at
first	first	md
instance	instance	nn1
,	,	y
I	i	ppis1
grant	grant	vv0
,	,	y
pure	pure	jj
self-interest	self-interest	nn1
is	be	vbz
what	what	ddq
's	be	vbz
likely	likely	jj
to	to	to
make	make	vvi
students	student	nn2
intolerant	intolerant	jj
of	of	io
cheating	cheat	vvg
in	in	ii_rp@
any	any	dd
situation	situation	nn1
where	where	rrq
grades	grade	nn2
reflect	reflect	vv0
actual	actual	jj
performance	performance	nn1
.	.	y
If	if	cs
your	your	appge
cheating	cheat	vvg_nn1@_jj@
directly	directly	rr
harms	harm	vvz
my	my	appge
chances	chance	nn2
of	of	io
getting	get	vvg
into	into	ii
medical	medical	jj
school	school	nn1
or	or	cc
law	law	nn1
school	school	nn1
or	or	cc
one	one	mc1
of	of	io
the	the	at
top	top	jj_nn1
philosophy	philosophy	nn1
programs	program	nn2
in	in	ii
the	the	at
country	country	nn1
,	,	y
I	i	ppis1
'm	be	vbm
much	much	rr
more	more	rgr
likely	likely	jj
to	to	to
tell	tell	vvi
you	you	ppy
to	to	to
stop	stop	vvi
.	.	y
<p>	<p>	y
Still	still	rr
,	,	y
there	there	ex
's	be	vbz
another	another	dd1
way	way	nn1
of	of	io
looking	look	vvg
at	at	ii
the	the	at
matter	matter	nn1
.	.	y
If	if	cs
I	i	ppis1
catch	catch	vv0
you	you	ppy
plagiarizing	plagiarize	vvg
your	your	appge
work	work	nn1
from	from	ii
the	the	at
web	web	nn1
or	or	cc
getting	get	vvg
high	high	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
simply	simply	rr
want	want	vvi
to	to	to
tell	tell	vvi
a	a	at1
professor	professor	nn1
or	or	cc
a	a	at1
dean	dean	nn1
that	that	cst
I	i	ppis1
'm	be	vbm
doing	do	vdg
my	my	appge
own	own	da
work	work	nn1
,	,	y
and	and	cc
I	i	ppis1
want	want	vv0
to	to	to
be	be	vbi
measured	measure	vvn
only	only	rr
against	against	ii
other	other	jj
students	student	nn2
who	who	pnqs
have	have	vh0
done	do	vdn
theirs	theirs	ppge
.	.	y
<p>	<p>	y
If	if	cs
you	you	ppy
look	look	vv0
closely	closely	rr
,	,	y
you	you	ppy
'll	will	vm
see	see	vvi
that	that	cst
this	this	dd1
response	response	nn1
is	be	vbz
only	only	rr
incidentally	incidentally	rr
an	a	at1
example	example	nn1
of	of	io
what	what	ddq
might	might	vm
be	be	vbi
called	call	vvn
zero-sum	zero-sum	jj_nn1
outrage	outrage	nn1
,	,	y
where	where	cs_rrq
I	i	ppis1
'm	be	vbm
angry	angry	jj
because	because	cs
your	your	appge
gain	gain	nn1
equals	equal	vvz
my	my	appge
loss	loss	nn1
.	.	y
Instead	instead	rr
,	,	y
it	it	pph1
's	be	vbz
much	much	rr_da1
closer	closer	jjr
to	to	ii
the	the	at
reaction	reaction	nn1
that	that	cst_dd1
takes	take	vvz
us	us	ppio2
to	to	ii
the	the	at
second	second	md_nnt1
or	or	cc
"	"	y
ethical	ethical	jj
"	"	y
level	level	nn1
of	of	io
the	the	at
Rounders	rounders	nn1
example	example	nn1
.	.	y
At	at	ii
this	this	dd1
level	level	nn1_jj
,	,	y
what	what	ddq
makes	make	vvz
one	one	pn1_mc1
angry	angry	jj
is	be	vbz
a	a	at1
deeper	deep	jjr
sense	sense	nn1
that	that	cst_dd1
cheating	cheat	vvg_jj@
dishonors	dishonor	nn2
the	the	at
very	very	jj
pursuit	pursuit	nn1
in	in	ii
which	which	ddq
some	some	dd
people	people	nn
are	be	vbr
trying	try	vvg
their	their	appge
best	best	jjt
,	,	y
working	work	vvg
as	as	rg
hard	hard	rr_jj
as	as	csa
they	they	pphs2
can	can	vm
,	,	y
and	and	cc
taking	take	vvg
the	the	at
objective	objective	jj_nn1
measure	measure	nn1
of	of	io
their	their	appge
performance	performance	nn1
--	--	x
whether	whether	csw
it	it	pph1
's	be	vbz
a	a	at1
C+	c+	fo
in	in	ii
a	a	at1
calculus	calculus	nn1
course	course	nn1
or	or	cc
a	a	at1
3:18	3:18	mc
time	time	nnt1
in	in	ii
a	a	at1
marathon	marathon	nn1
--	--	x
as	as	ii_csa
a	a	at1
true	true	jj
assessment	assessment	nn1
of	of	io
their	their	appge
accomplishment	accomplishment	nn1
.	.	y
<p>	<p>	y
Perhaps	perhaps	rr
the	the	at
worst	bad	jjt
consequence	consequence	nn1
of	of	io
grade	grade	nn1
inflation	inflation	nn1
,	,	y
in	in	ii
other	other	jj
words	word	nn2
,	,	y
is	be	vbz
that	that	dd1
it	it	pph1
hides	hide	vvz
or	or	cc
masks	mask	vvz@_nn2
the	the	at
ethical	ethical	jj
dimension	dimension	nn1
of	of	io
cheating	cheat	vvg_nn1@
,	,	y
even	even	rr
from	from	ii
the	the	at
honest	honest	jj
student	student	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	ii
anything	anything	pn1
we	we	ppis2
might	might	vm
want	want	vvi
to	to	to
think	think	vvi
of	of	io
as	as	ii_csa
a	a	at1
genuine	genuine	jj
intellectual	intellectual	jj_nn1
community	community	nn1
.	.	y
I	i	ppis1_mc1@
thought	think	vvd
of	of	io
this	this	dd1
recently	recently	rr
when	when	rrq_cs
,	,	y
in	in	ii
quite	quite	rg_rr@
another	another	dd1
context	context	nn1
,	,	y
I	i	ppis1
was	be	vbdz
reading	read	vvg
Anthony	anthony	np1
Kenny	kenny	np1
's	's	ge
A	a	at1
Life	life	nn1
in	in	ii
Oxford	oxford	np1
.	.	y
Kenny	kenny	np1
,	,	y
as	as	csa_rg@
many	many	da2
readers	reader	nn2
will	will	vm
know	know	vvi
,	,	y
is	be	vbz
an	a	at1
Oxford	oxford	np1
philosopher	philosopher	nn1
who	who	pnqs
began	begin	vvd
his	his	appge
career	career	nn1
as	as	ii_csa
an	a	at1
ordained	ordained	jj
Catholic	catholic	jj_nn1
priest	priest	nn1
.	.	y
His	his	appge
gradual	gradual	jj
estrangement	estrangement	nn1
from	from	ii
Catholicism	catholicism	nn1
is	be	vbz
recounted	recount	vvn@
in	in	ii
A	a	at1@_zz1
Path	path	nn1
from	from	ii
Rome	rome	np1
,	,	y
to	to	ii
which	which	ddq
A	a	at1@
Life	life	nn1
in	in	ii
Oxford	oxford	np1
is	be	vbz
an	a	at1
autobiographical	autobiographical	jj
sequel	sequel	nn1
.	.	y
<p>	<p>	y
The	the	at
moment	moment	nn1
that	that	cst
caught	catch	vvd
my	my	appge
attention	attention	nn1
was	be	vbdz
this	this	dd1
.	.	y
After	after	cs
he	he	pphs1
has	have	vhz
applied	apply	vvn
for	for	if
and	and	cc
achieved	achieve	vvn_jj%_vvd@
laicization	laicization	nn1
,	,	y
married	married	jj_vvd@
,	,	y
and	and	cc
taken	take	vvn
up	up	rp_ii@
a	a	at1
position	position	nn1
at	at	ii
Oxford	oxford	np1
,	,	y
Kenny	kenny	np1
--	--	x
by	by	rt21
now	now	rt22
an	a	at1
agnostic	agnostic	jj_nn1
--	--	x
continues	continue	vvz
to	to	to
attend	attend	vvi
Catholic	catholic	jj_nn1
Mass	mass	nn1
.	.	y
But	but	ccb
he	he	pphs1
does	do	vdz
so	so	rr
as	as	ii_csa
a	a	at1
non-Catholic	non-catholic	nn1_jj
,	,	y
always	always	rr
careful	careful	jj
to	to	to
limit	limit	vvi
his	his	appge
participation	participation	nn1
in	in	ii
the	the	at
liturgy	liturgy	nn1
to	to	ii
those	those	dd2
portions	portion	nn2
that	that	cst
do	do	vd0
not	not	xx
imply	imply	vvi
either	either	rr
religious	religious	jj
belief	belief	nn1
or	or	cc
membership	membership	nn1
in	in	ii
the	the	at
Church	church	nn1
.	.	y
His	his	appge
reasoning	reasoning	nn1
seems	seem	vvz
to	to	ii
me	me	ppio1
exactly	exactly	rr
appropriate	appropriate	jj_vv0@
to	to	ii
the	the	at
subject	subject	nn1
of	of	io
grade	grade	nn1
inflation	inflation	nn1
and	and	cc
cheating	cheat	vvg_nn1@
:	:	y
"	"	y
to	to	to
recite	recite	vvi
the	the	at
Creed	creed	nn1
or	or	cc
receive	receive	vv0
Communion	communion	nn1
would	would	vm
be	be	vbi
,	,	y
in	in	ii
my	my	appge
view	view	nn1
,	,	y
not	not	xx
only	only	rr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
but	but	ccb
also	also	rr
an	a	at1
insult	insult	nn1
to	to	ii
the	the	at
seriousness	seriousness	nn1
with	with	iw
which	which	ddq
these	these	dd2
actions	action	nn2
are	be	vbr
undertaken	undertake	vvn
by	by	ii
believers	believer	nn2
.	.	y
"	"	y
<p>	<p>	y
There	there	rl
we	we	ppis2
have	have	vh0
,	,	y
in	in	ii
a	a	at1
nutshell	nutshell	nn1
,	,	y
a	a	at1
logic	logic	nn1
that	that	cst_dd1
brings	bring	vvz
to	to	ii
light	light	nn1
the	the	at
real	real	jj
moral	moral	jj
ugliness	ugliness	nn1
of	of	io
academic	academic	jj
cheating	cheating	nn1@
.	.	y
To	to	to
cheat	cheat	vvi
on	on	ii_rp@
an	a	at1
exam	exam	nn1
or	or	cc
plagiarize	plagiarize	vv0
a	a	at1
paper	paper	nn1
is	be	vbz
not	not	xx
simply	simply	rr
to	to	to
try	try	vvi
to	to	to
receive	receive	vvi
credit	credit	nn1
for	for	if
work	work	nn1
that	that	cst_dd1
is	be	vbz
beyond	beyond	ii
one	one	pn1_mc1
's	's	ge
own	own	da
capacity	capacity	nn1
.	.	y
It	it	pph1
is	be	vbz
to	to	to
insult	insult	vvi
the	the	at
seriousness	seriousness	nn1
with	with	iw
which	which	ddq
students	student	nn2
who	who	pnqs
act	act	vv0
honorably	honorably	rr
are	be	vbr
taking	take	vvg
their	their	appge
university	university	nn1
education	education	nn1
as	as	ii_csa
a	a	at1
process	process	nn1
of	of	io
personal	personal	jj
and	and	cc
intellectual	intellectual	jj_nn1
development	development	nn1
.	.	y
In	in	ii
the	the	at
same	same	da
way	way	nn1
,	,	y
the	the	at
dean	dean	nn1
or	or	cc
"	"	y
Office	office	nn1
of	of	io
Student	student	nn1
Services	service	nn2
"	"	y
who	who	pnqs
treats	treat	vvz
cheating	cheat	vvg
as	as	ii
a	a	at1
mere	mere	jj
slip	slip	nn1
or	or	cc
trivial	trivial	jj
inadvertency	inadvertency	nn1
is	be	vbz
telling	tell	vvg
every	every	at1
real	real	jj
student	student	nn1
on	on	ii
the	the	at
campus	campus	nn1
--	--	x
the	the	at
students	student	nn2
whom	whom	pnqo
any	any	dd_rr%
university	university	nn1
worthy	worthy	nn1@
of	of	io
the	the	at
name	name	nn1
ought	ought	vmk
most	most	rrt@
to	to	ii
value	value	nn1
,	,	y
encourage	encourage	vv0
,	,	y
even	even	rr
cherish	cherish	vv0
--	--	x
that	that	cst
he	he	pphs1
or	or	cc
she	she	pphs1
is	be	vbz
valueless	valueless	jj
,	,	y
nothing	nothing	pn1
more	more	dar
than	than	csn
another	another	dd1
anonymous	anonymous	jj
unit	unit	nn1
on	on	ii
the	the	at
endless	endless	jj
and	and	cc
indiscriminate	indiscriminate	jj
assembly	assembly	nn1
line	line	nn1
that	that	cst_dd1
,	,	y
at	at	ii
very	very	rg
many	many	da2
schools	school	nn2
,	,	y
passes	pass	vvz_nn2
today	today	rt
as	as	csa_rg@
higher	high	jjr
education	education	nn1
.	.	y
<p>	<p>	y
It	it	pph1
's	be	vbz
only	only	rr_jj
when	when	cs_rrq
everyone	everyone	pn1
is	be	vbz
operating	operate	vvg
within	within	ii
a	a	at1
system	system	nn1
that	that	cst
reliably	reliably	rr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cst
one	one	pn1
perceives	perceive	vvz
the	the	at
true	true	jj
moral	moral	jj
degradation	degradation	nn1
involved	involved	jj
in	in	ii
cheating	cheat	vvg_nn1@
.	.	y
It	it	pph1
's	be	vbz
only	only	rr
then	then	rt
that	that	cst
the	the	at
marathoner	marathoner	nn1
who	who	pnqs
has	have	vhz
undergone	undergo	vvn
ten	ten	m
months	month	nnt2
of	of	io
arduous	arduous	jj
training	training	nn1
will	will	vm
have	have	vhi
no	no	at
hesitation	hesitation	nn1
about	about	ii
telling	tell	vvg
the	the	at
race	race	nn1
officials	official	nn2
that	that	cst
the	the	at
person	person	nn1
who	who	pnqs
finished	finish	vvd
ahead	ahead	ii21
of	of	ii22
him	him	ppho1
cut	cut	vvn_vv0_vvd@
through	through	ii
the	the	at
woods	wood	nn2
,	,	y
or	or	cc
that	that	cst
a	a	at1
student	student	nn1
who	who	pnqs
's	be	vbz_vhz@
put	put	vvn
an	a	at1
enormous	enormous	jj
amount	amount	nn1
of	of	io
time	time	nnt1
into	into	ii
getting	get	vvg
an	a	at1
honorable	honorable	jj
C+	c+	fo
in	in	ii
calculus	calculus	nn1
will	will	vm
get	get	vvi
up	up	rp
and	and	cc
tell	tell	vvi
a	a	at1
classmate	classmate	nn1
copying	copy	vvg_nn1@
answers	answer	nn2_vvz
from	from	ii
a	a	at1
friend	friend	nn1
on	on	ii
the	the	at
midterm	midterm	nn1
to	to	to
knock	knock	vvi
it	it	pph1
off	off	rp
.	.	y
<p>	<p>	y
It	it	pph1
's	be	vbz
easy	easy	rr@_jj
enough	enough	rr_dd
to	to	to
see	see	vvi
that	that	cst
the	the	at
cops	cop	nn2
who	who	pnqs
beat	beat	vvd_vv0
up	up	rp
the	the	at
card	card	nn1
cheats	cheat	vvz_nn2
in	in	ii
Rounders	rounders	nn1
were	be	vbdr
at	at	ii
some	some	dd
level	level	nn1_jj
motivated	motivate	vvn
by	by	ii
self-interest	self-interest	nn1
.	.	y
It	it	pph1
's	be	vbz
harder	hard	jjr
to	to	to
see	see	vvi
that	that	dd1_cst
,	,	y
beyond	beyond	ii
that	that	dd1
,	,	y
they	they	pphs2
were	be	vbdr
instinctively	instinctively	rr
acting	act	vvg
to	to	to
preserve	preserve	vvi
a	a	at1
certain	certain	jj
rudimentary	rudimentary	jj
moral	moral	jj
contract	contract	nn1
implicit	implicit	jj
even	even	rr
in	in	ii
weekend	weekend	nnt1
card	card	nn1
games	game	nn2
.	.	y
It	it	pph1
's	be	vbz
not	not	xx
unreasonable	unreasonable	jj
,	,	y
I	i	ppis1
think	think	vv0
,	,	y
to	to	to
ask	ask	vvi
that	that	dd1_cst
university	university	nn1
administrators	administrator	nn2
,	,	y
by	by	ii
putting	put	vvg
an	a	at1
end	end	nn1
to	to	to
grade	grade	vvi
inflation	inflation	nn1
,	,	y
do	do	vd0
what	what	ddq
they	they	pphs2
can	can	vv0%_vm
to	to	to
raise	raise	vvi
the	the	at
ethical	ethical	jj
level	level	nn1
of	of	io
their	their	appge
institutions	institution	nn2
at	at	rr21
least	least	rr22
to	to	ii
the	the	at
level	level	nn1
of	of	io
ordinary	ordinary	jj
folks	folk	nn2
who	who	pnqs
get	get	vv0
together	together	rl
to	to	to
play	play	vvi
a	a	at1
game	game	nn1
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
University	university	nn1
of	of	io
Virginia	virginia	np1
Medical	medical	jj
Center	center	nn1
employee	employee	nn1
in	in	ii
a	a	at1
staff	staff	nn
meeting	meet	vvg_nn1
,	,	y
quoted	quote	vvd_vvn
approximately	approximately	rr
below	below	rl
,	,	y
was	be	vbdz
enough	enough	dd
to	to	to
prompt	prompt	vvi
the	the	at
university	university	nn1
's	's	ge
president	president	nn1
to	to	to
issue	issue	vvi
a	a	at1
strongly	strongly	rr
worded	worded	jj@_vvd
press	press	nn1
release	release	nn1_vv0
,	,	y
to	to	to
impel	impel	vvi
the	the	at
medical	medical	jj
center	center	nn1
CEO	ceo	nn1
to	to	to
investigate	investigate	vvi
