##54361		
Announcer	announcer	np1_nn1
'	'	"@
you	you	ppy
know	know	vv0
?	?	y
So	so	rr
we	we	ppis2
had	have	vhd
a	a	at1
little	little	jj
breakfast	breakfast	nn1
in	in	ii
this	this	dd1_rg%
little	little	jj_da1
coffee	coffee	nn1
shop	shop	nn1
and	and	cc
a	a	at1
little	little	jj
cup	cup	nn1
of	of	io
coffee	coffee	nn1
and	and	cc
a	a	at1
cigarette	cigarette	nn1
,	,	y
felt	feel	vvd_vvn
a	a	rr21
little	little	rr22
better	better	rrr_jjr
.	.	y
And	and	cc
then	then	rt
we	we	ppis2
went	go	vvd
down	down	rp
to	to	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@!Ms-MADIGAN		zzq
:	:	y
And	and	cc
he	he	pphs1
turned	turn	vvd
b	b	zz1
--		zz
he	he	pphs1
--		zz
he	he	pphs1
turned	turn	vvd
white	white	jj
,	,	y
absolutely	absolutely	rr
white	white	jj
.	.	y
@!Mr-HARRIS		zzq
:	:	y
Yeah	yeah	uh
,	,	y
it	it	pph1
was	be	vbdz
surreal.	surreal	nnu
@!Ms-MADIGAN		zzq
:	:	y
And	and	cc
he	he	pphs1
had	have	vhd
to	to	to
put	put	vvi
his	his	appge
head	head	nn1
between	between	ii
his	his	appge
legs	leg	nn2
and	and	cc
then	then	rt
he	he	pphs1
was	be	vbdz
OK.	ok	jj
@!BRAVER		zzq
:	:	y
Is	be	vbz
that	that	dd1
true	true	jj
?	?	y
@!Ms-MADIGAN		zzq
:	:	y
I	i	ppis1
swear	swear	vv0
to	to	ii
God	god	np1
.	.	y
@!Mr-HARRIS		zzq
:	:	y
I	i	ppis1
almost	almost	rr
fainted	faint	vvd
,	,	y
yeah	yeah	uh
.	.	y
@!BRAVER		zzq
:	:	y
Is	be	vbz
this	this	dd1_rg%
true	true	jj
?	?	y
@!Ms-MADIGAN		zzq
:	:	y
Why	why	rrq
--		nn1_jj
why	why	rrq
would	would	vm
we	we	ppis2
make	make	vvi
that	that	dd1
up	up	rp_vv0%
?	?	y
I	i	ppis1
mean	mean	vv0
,	,	y
I	i	zz1%
c	c	zz1
...	...	...
@(Footage-of-couple)		zzc
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
In	in	ii31
addition	addition	ii32
to	to	ii33
their	their	appge
work	work	nn1
together	together	rl
,	,	y
they	they	pphs2
have	have	vh0
each	each	dd1
been	be	vbn
successful	successful	jj
independently	independently	rr
.	.	y
Madigan	madigan	np1@_nn1
played	play	vvd
Kevin	kevin	np1
Costner	costner	np
's	's	ge_vbz
skeptical	skeptical	jj
but	but	ccb
loyal	loyal	jj
wife	wife	nn1
in	in	ii
"	"	y
Field	field	nn1_np1
of	of	io
Dreams	dream	nn2
.	.	y
"	"	y
qwq		xx
@		ii
(	(	y
Excerpt-from-		np1
"	"	y
Fiel	fiel	np1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
She	she	pphs1
was	be	vbdz
nominated	nominate	vvn
for	for	if
a	a	at1
best	best	rrt_jjt
supporting	support	vvg_jj
actress	actress	nn1
Oscar	oscar	nn1
in	in	ii
1986	1986	mc
for	for	if
her	her	appge
role	role	nn1
as	as	csa_ii@
Gene	gene	np1
Hackman	hackman	np1
's	's	ge
troubled	troubled	jj
daughter	daughter	nn1
in	in	ii_rp@
"	"	y
Twice	twice	rr
in	in	ii
a	a	at1
Lifetime	lifetime	nnt1
.	.	y
"	"	y
qwq		xx
@		ii
(	(	y
Excerpts-from-		nn2
"	"	y
Twi	twi	jj_nn1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Harris	harris	np1
first	first	md
burst	burst	nn1_vvn_vvd_vv0
on	on	ii21_rp
to	to	ii22_ii
the	the	at
national	national	jj
scene	scene	nn1
with	with	iw
his	his	appge
role	role	nn1
as	as	csa_ii@
astronaut	astronaut	nn1
John	john	np1
Glenn	glenn	np1
in	in	ii
"	"	y
The	the	at
Right	right	jj_nn1
Stuff	stuff	nn1
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Voiceover	voiceover	np1
)		np1
He	he	pphs1
received	receive	vvd
an	a	at1
Academy	academy	nn1
Award	award	nn1
nomination	nomination	nn1
as	as	rg@
best	best	rrt_jjt
supporting	support	vvg_jj
actor	actor	nn1
for	for	if
playing	play	vvg
another	another	dd1
space-related	space-related	jj_nn1
role	role	nn1
--		nn1
the	the	at
ground	ground	nn1_jj@
commander	commander	nn1
in	in	ii
"	"	y
Apollo	apollo	np1
13.	13	mc
"	"	y
qwq		xx
@		ii
(	(	y
Excerpts-from-		nn2
"	"	y
Apo	apo	nn1_np1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
And	and	cc
Harris	harris	np1
was	be	vbdz
nominated	nominate	vvn
again	again	rt
for	for	if
his	his	appge
supporting	supporting	jj
role	role	nn1
as	as	ii_csa
the	the	at
television	television	nn1
director	director	nn1
in	in	ii
"	"	y
The	the	at
Truman	truman	np1
Show	show	nn1_vv0
.	.	y
"	"	y
qwq		xx
@		ii
(	(	y
Excerpt-from-		np1
"	"	y
The-		jj_nn1
Unidentified	unidentified	jj
Reporter	reporter	nn1
:	:	y
A	a	rr21@_at1
lot	lot	rr22_nn1
--		zz
a	a	at1
lot	lot	nn1
of	of	io
people	people	nn
suggest	suggest	vv0
that	that	dd1_cst
--		nn1_jj
that	that	cst
the	the	at
nomination	nomination	nn1
really	really	rr
,	,	y
to	to	ii
a	a	at1
large	large	jj
degree	degree	nn1
,	,	y
is	be	vbz
the	the	at
winner	winner	nn1
.	.	y
Do	do	vd0
you	you	ppy
--		zz
do	do	vd0
you	you	ppy
agree	agree	vvi
with	with	iw
that	that	dd1
?	?	y
@!Mr-HARRIS		zzq
:	:	y
No.	no	zz
qwq		xx
@		ii
(	(	y
Footage-of-Harris		np1
;		np1
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Now	now	rt
Harris	harris	np1
is	be	vbz
a	a	at1
dark	dark	jj_nn1
horse	horse	nn1
contender	contender	nn1
for	for	if
a	a	at1
nomination	nomination	nn1
as	as	ii_csa
a	a	at1
leading	leading	jj
actor	actor	nn1
for	for	if
his	his	appge
portrayal	portrayal	nn1
of	of	io
Jackson	jackson	np1
Pollock	pollock	np1
,	,	y
an	a	at1
honor	honor	nn1
that	that	cst_dd1
could	could	vm
take	take	vvi
his	his	appge
career	career	nn1
to	to	ii
a	a	at1
whole	whole	jj
new	new	jj
level	level	nn1
.	.	y
One	one	mc1
of	of	io
the	the	at
things	thing	nn2
that	that	cst_dd1
's	be	vbz_vhz@
said	say	vvn@
is	be	vbz
that	that	cst_dd1_rg%
maybe	maybe	rr
this	this	dd1
will	will	vm
mean	mean	vvi
that	that	cst
you	you	ppy
do	do	vd0
more	more	dar
leading	leading	jj
roles	role	nn2
in	in	ii
big	big	jj
movies	movie	nn2
...	...	...
@!Mr-HARRIS		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!BRAVER		zzq
:	:	y
...	...	...
and	and	cc
not	not	xx
so	so	rg
many	many	da2
supporting	supporting	jj
roles	role	nn2
,	,	y
as	as	rg
great	great	jj
as	as	csa
they	they	pphs2
've	have	vh0
been	be	vbn
.	.	y
@!Mr-HARRIS		zzq
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
reasons	reason	nn2
I	i	ppis1
wanted	want	vvd
to	to	to
do	do	vdi
the	the	at
film	film	nn1
in	in	ii
the	the	at
first	first	md
place	place	nn1
was	be	vbdz
because	because	cs
I	i	ppis1
'm	be	vbm
an	a	at1
actor	actor	nn1
and	and	cc
I	i	ppis1
wanted	want	vvd
to	to	to
play	play	vvi
the	the	at
main	main	jj
guy	guy	nn1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
and	and	cc
have	have	vh0
it	it	pph1
--		zz
make	make	vv0
a	a	at1
film	film	nn1
that	that	cst_dd1
was	be	vbdz
about	about	ii
my	my	appge
character	character	nn1
.	.	y
Now	now	rt
here	here	rl
again	again	rt
,	,	y
I	i	ppis1
've	have	vh0
invested	invest	vvn
--		nn1_jj
I	i	ppis1
've	have	vh0
invested	invest	vvn
so	so	rg
much	much	da1
of	of	io
my	my	appge
own	own	da
money	money	nn1
in	in	ii
"	"	y
Pollock	pollock	np1
"	"	y
that	that	cst
I	i	ppis1
've	have	vh0
--		zz
I	i	ppis1
have	have	vh0
got	get	vvn
to	to	to
work	work	vvi
,	,	y
and	and	cc
so	so	rr_cs@
I	i	ppis1
'm	be	vbm
doing	do	vdg
a	a	at1
lot	lot	nn1
of	of	io
jobs	job	nn2
that	that	cst
are	be	vbr
supporting	supporting	jj_vvg
parts	part	nn2
,	,	y
you	you	ppy
know	know	vv0
?	?	y
And	and	cc
so	so	rr_cs@
it	it	pph1
's	be	vbz
,	,	y
like	like	rr
,	,	y
'	'	ge
Well	well	nn1
,	,	y
maybe	maybe	rr
I	i	ppis1
broke	break	vvd
through	through	rp@
,	,	y
but	but	ccb
now	now	rt
I	i	ppis1
'm	be	vbm
breaking	break	vvg
back	back	rp
through	through	ii
the	the	at
other	other	jj
way	way	nn1
.	.	y
'	'	"@_ge
We	we	ppis2
'll	will	vm
see	see	vvi
.	.	y
@!BRAVER		zzq
:	:	y
You	you	ppy
know	know	vv0
,	,	y
there	there	ex
have	have	vh0
to	to	to
be	be	vbi
times	times	ii%_nnt2
when	when	rrq
one	one	mc1
of	of	io
you	you	ppy
has	have	vhz
a	a	at1
great	great	jj
part	part	nn1
and	and	cc
maybe	maybe	rr
the	the	at
other	others	nn1@_jj
does	do	vdz
n't	n't	xx
have	have	vhi
anything	anything	pn1
going	go	vvg
at	at	ii
the	the	at
same	same	da
time	time	nnt1
.	.	y
Is	be	vbz
that	that	dd1
hard	hard	jj_rr
?	?	y
@!Ms-MADIGAN		zzq
:	:	y
Sometimes	sometimes	rt
fo	fo	nn1
--		nn1_jj
fo	fo	nn1
--		nn1
in	in	ii
my	my	appge
situation	situation	nn1
,	,	y
it	it	pph1
's	be	vbz
hard	hard	rr
just	just	rr
because	because	cs
I	i	ppis1
'd	have	vm
like	like	vvi
to	to	to
work	work	vvi
more	more	dar_rrr_rgr
and	and	cc
my	my	appge
opportunities	opportunity	nn2
are	be	vbr
--		zz
are	be	vbr
n	xx_n	zz1
--		zz
kind	kind	nn1
of	of	io
little	little	jj_da1_rr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
supportive	supportive	jj
of	of	io
ea	ea	nnu
--		nn1_jj
each	each	ppx221
other	other	ppx222
's	's	ge
choices	choice	nn2
and	and	cc
--		zz
and	and	cc
what	what	ddq
we	we	ppis2
're	be	vbr
able	able	jk
to	to	to
do	do	vdi
.	.	y
So	so	rr
,	,	y
I	i	ppis1
mean	mean	vv0
,	,	y
I	i	ppis1
think	think	vv0
,	,	y
honestly	honestly	rr
,	,	y
we	we	ppis2
're	be	vbr
pretty	pretty	rg
good	good	jj
at	at	ii
that	that	dd1
stuff	stuff	nn1
.	.	y
@!BRAVER		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!Ms-MADIGAN		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!BRAVER		zzq
:	:	y
Do	do	vd0
you	you	ppy
--		zz
do	do	vd0
you	you	ppy
ever	ever	rr
feel	feel	vvi
competitive	competitive	jj
with	with	iw
each	each	ppx221
other	other	ppx222
at	at	rr21
all	all	rr22
?	?	y
@!Mr-HARRIS		zzq
:	:	y
Not	not	xx
--		nn1_jj
no	no	uh
.	.	y
Not	not	xx
anymore	anymore	rr
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
the	the	at
first	first	md
--		nn1_jj
I	i	ppis1
think	think	vv0
the	the	at
first	first	md
year	year	nnt1
or	or	cc
two	two	mc
,	,	y
there	there	ex
was	be	vbdz
a	a	at1
little	little	jj
bit	bit	nn1
of	of	io
that	that	dd1
in	in	ii
me	me	ppio1
,	,	y
at	at	rr21
least	least	rr22
,	,	y
you	you	ppy
know	know	vv0
,	,	y
but	but	ccb
it	it	pph1
did	do	vdd
n't	n't	xx
last	last	vvi
too	too	rg
long	long	rr
...	...	...
@!Ms-MADIGAN		zzq
:	:	y
No.	no	zz
@!Mr-HARRIS		zzq
:	:	y
...	...	...
you	you	ppy
know	know	vv0
?	?	y
@(Photo-of-couple)		zzc
@!BRAVER		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Harris	harris	np1
,	,	y
Madigan	madigan	np1
,	,	y
both	both	db2_rr
age	age	vv0@_nn1
50	50	mc
and	and	cc
their	their	appge
seven-year-old	seven-year-old	jj
daughter	daughter	nn1
--		nn1
they	they	pphs2
did	do	vdd
n't	n't	xx
want	want	vvi
her	her	ppho1
photographed	photograph	vvd_vvn
--		nn1_jj
seem	seem	vv0
to	to	to
have	have	vhi
a	a	at1
remarkably	remarkably	rr
well-adjusted	well-adjusted	jj
life	life	nn1
,	,	y
especially	especially	rr
--		nn1_jj
let	let	vm21
's	be	vm22
face	face	vvi
it	it	pph1
--		zz
for	for	if
two	two	mc
movie	movie	nn1
stars	star	nn2
.	.	y
Tell	tell	vv0
me	me	ppio1
something	something	pn1
funny	funny	jj
about	about	ii
her	her	ppho1
.	.	y
@!Mr-HARRIS		zzq
:	:	y
About	about	ii
Amy	amy	np1
?	?	y
@!BRAVER		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!Mr-HARRIS		zzq
:	:	y
Well	well	rr
,	,	y
gosh	gosh	uh
--		nn1_jj
well	well	rr
,	,	y
there	there	ex
's	be	vbz
lots	lots	pn
of	of	io
little	little	jj
things	thing	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
's	's	ge
business	business	nn1
.	.	y
You	you	ppy
know	know	vv0
what	what	ddq
I	i	ppis1
mean	mean	vv0
?	?	y
Except	except	cs_ii
mine	mine	ppge_nn1
.	.	y
@!Ms-MADIGAN		zzq
:	:	y
You	you	ppy
know	know	vv0
how	how	rrq_rgq
it	it	pph1
is	be	vbz
.	.	y
You	you	ppy
look	look	vv0
at	at	ii
--		nn1_jj
you	you	ppy
ask	ask	vv0
couples	couple	nn2
,	,	y
'	'	ge
Well	well	nn1
,	,	y
you	you	ppy
know	know	vv0
--		zz
well	well	nn1@_rr
,	,	y
what	what	ddq
is	be	vbz
it	it	pph1
,	,	y
or	or	cc
what	what	ddq
's	be	vbz
your	your	appge
secret	secret	nn1
of	of	io
'	'	ge
--		nn1
there	there	ex
's	be	vbz
no	no	at
secret	secret	nn1_jj
.	.	y
We	we	ppis2
work	work	vv0
really	really	rr
hard	hard	rr_jj
at	at	ii
it	it	pph1
and	and	cc
Ed	ed	np1
really	really	rr
--		zz
he	he	pphs1
's	be	vbz
really	really	rr
the	the	at
best	best	jjt
friend	friend	nn1
I	i	ppis1
have	have	vh0
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
I	i	ppis1
want	want	vv0
to	to	to
hang	hang	vvi
out	out	rp
with	with	iw
him	him	ppho1
all	all	db
the	the	at
time	time	nnt1
,	,	y
so	so	cs@_rr
I	i	ppis1
'm	be	vbm
pretty	pretty	rg
lucky	lucky	jj
.	.	y
@(Photo-of-couple)		zzc
@!OSGOOD		zzq
:	:	y
(	(	y
Voiceover	voiceover	np1
)		np1
Next	next	md
,	,	y
a	a	at1
diversion	diversion	nn1
to	to	ii
a	a	at1
simpler	simple	jjr
time	time	nnt1
and	and	cc
place	place	nn1_vv0
.	.	y
@(Announcements)		zzc
##54363		
CHARLES	charles	np1
@!OSGOOD		zzq
,	,	y
host	host	vv0_nn1
:	:	y
February	february	npm1
is	be	vbz
Black	black	jj
History	history	nn1
Month	month	nnt1
,	,	y
a	a	at1
good	good	jj
time	time	nnt1
to	to	to
take	take	vvi
note	note	nn1
of	of	io
an	a	at1
overlooked	overlooked	jj%
chapter	chapter	nn1
of	of	io
American	american	jj
black	black	jj
heritage	heritage	nn1
involving	involve	vvg
a	a	at1
woman	woman	nn1
you	you	ppy
see	see	vv0
on	on	ii_rp@
this	this	dd1
postage	postage	nn1
stamp	stamp	nn1
.	.	y
Randall	randall	np1
Pinkston	pinkston	np1
has	have	vhz
the	the	at
tale	tale	nn1
of	of	io
a	a	at1
remarkable	remarkable	jj
entrepreneur	entrepreneur	nn1
who	who	pnqs
began	begin	vvd
in	in	ii
the	the	at
humblest	humble	jjt
of	of	io
circumstances	circumstance	nn2
in	in	ii
the	the	at
South	south	nd1
before	before	ii
moving	move	vvg
on	on	rp_ii21
to	to	ii_ii22
the	the	at
grandest	grand	jjt
settings	setting	nn2
in	in	ii
the	the	at
North	north	nd1
.	.	y
@(Footage-of-Hudson-)		zzc
@!RANDALL-PINKSTON-r		zzq
:	:	y
@(Voiceover)		zzc
Here	here	rl
in	in	ii
the	the	at
Hudson	hudson	np1
River	river	nnl1
Valley	valley	nn1_np1@
,	,	y
the	the	at
captains	captain	nn2
of	of	io
American	american	jj
industry	industry	nn1
built	build	vvd_vvn
their	their	appge
mansions	mansion	nn2
:	:	y
John	john	np1
D.	d	np1
Rockefeller	rockefeller	np1
,	,	y
Andrew	andrew	np1
Carnegie	carnegie	np1
and	and	cc
financier	financier	nn1
Jay	jay	np1
Gould	gould	np1
.	.	y
And	and	cc
so	so	rr
did	do	vdd
Madam	madam	nn1
C.J.	cj	np1
Walker	walker	np1
,	,	y
a	a	at1
little-known	little-known	jj
African-American	african-american	nn1@
who	who	pnqs
became	become	vvd
one	one	mc1
of	of	io
the	the	at
richest	rich	jjt
,	,	y
most	most	rgt_dat
successful	successful	jj
businesswomen	businesswomen	nn2
in	in	ii
the	the	at
nation	nation	nn1
almost	almost	rr
100	100	mc
years	year	nnt2
ago	ago	ra
.	.	y
Let	let	vv0
other	other	jj
mansions	mansion	nn2
hide	hide	vvi
behind	behind	ii
shrubs	shrub	nn2
and	and	cc
fences	fence	nn2
.	.	y
Madam	madam	nnb
Walker	walker	np1
built	build	vvd
her	her	ppho1_appge
home	home	rl_nn1
right	right	rr_nn1
on	on	ii
the	the	at
road	road	nn1
,	,	y
where	where	cs_rrq
everyone	everyone	pn1
could	could	vm
see	see	vvi
what	what	ddq
she	she	pphs1
had	have	vhd
accomplished	accomplish	vvn
.	.	y
@(Photograph-of-Mada)		zzc
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
what	what	ddq
she	she	pphs1
had	have	vhd
accomplished	accomplish	vvn
was	be	vbdz
nothing	nothing	pn1
short	short	jj_rr@
of	of	io
remarkable	remarkable	jj
.	.	y
@(Photograph-of-cabi)		zzc
@!Ms-A'LELIA-BUNDLES		zzq
:	:	y
She	she	pphs1
was	be	vbdz
born	born	vvn
Sarah	sarah	np1
Breedlove	breedlove	np1_nn1_vv0
on	on	ii
a	a	at1
plantation	plantation	nn1
in	in	ii
Delta	delta	nn1
,	,	y
Louisiana	louisiana	np1
,	,	y
where	where	cs_rrq
her	her	appge
parents	parent	nn2
had	have	vhd
been	be	vbn
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Deep	deep	jj
South	south	nd1
,	,	y
with	with	iw
no	no	at
formal	formal	jj
education	education	nn1
but	but	ccb
lots	lots	pn
of	of	io
business	business	nn1
savvy	savvy	nn1
,	,	y
Madam	madam	nn1
C.J.	cj	np1
Walker	walker	np1
built	build	vvd
a	a	at1
financial	financial	jj
empire	empire	nn1
,	,	y
selling	sell	vvg
African-American	african-american	jj
hair-care	hair-care	nn1
products	product	nn2
door	door	nn1
to	to	ii
door	door	nn1
.	.	y
@(Photograph-of-Wond)		zzc
@!Ms-BUNDLES		zzq
:	:	y
@(Voiceover)		zzc
This	this	dd1
was	be	vbdz
her	her	appge
first	first	md
product	product	nn1
.	.	y
Her	her	appge
first	first	md
two	two	mc
products	product	nn2
were	be	vbdr
Vegetable	vegetable	nn1
Shampoo	shampoo	nn1
and	and	cc
Wonderful	wonderful	jj
Hair	hair	nn1
Grower	grower	nn1
.	.	y
@(Footage-of-Pinksto)		zzc
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
A'Lelia	a'lelia	np1_nn1@
Bundles	bundle	nn2
is	be	vbz
the	the	at
great-great	great-great	jj
granddaughter	granddaughter	nn1
of	of	io
Madam	madam	nnb
Walker	walker	np1
and	and	cc
the	the	at
other	others	nn1@_jj
of	of	io
a	a	at1
book	book	nn1
about	about	ii
her	her	ppho1
,	,	y
"	"	y
On	on	ii
Her	her	appge
Own	own	da
Ground	ground	nn1
.	.	y
"	"	y
@!Ms-BUNDLES		zzq
:	:	y
Madam	madam	nnb
Walker	walker	np1
was	be	vbdz
very	very	rg
smart	smart	jj
about	about	ii
marketing	marketing	nn1
.	.	y
She	she	pphs1
used	use	vvd
her	her	appge
own	own	da
image	image	nn1
on	on	ii
her	her	appge
products	product	nn2
,	,	y
and	and	cc
sh	sh	uh
--		nn1_jj
that	that	cst
allowed	allow	vvd
other	other	jj
women	woman	nn2
to	to	to
identify	identify	vvi
with	with	iw
not	not	xx
only	only	rr
her	her	appge
products	product	nn2
,	,	y
with	with	iw
--		zz
but	but	ccb
with	with	iw
her	her	appge
success	success	nn1
.	.	y
@(Footage-of-Vegetab)		zzc
@!Ms-BUNDLES		zzq
:	:	y
So	so	rr_cs@
the	the	at
idea	idea	nn1
of	of	io
hope	hope	nn1
in	in	ii
a	a	at1
jar	jar	nn1
,	,	y
which	which	ddq
is	be	vbz
a	a	at1
centuries-old	centuries-old	jj
way	way	nn1
of	of	io
selling	sell	vvg_nn1
products	product	nn2
,	,	y
was	be	vbdz
something	something	pn1
that	that	cst
she	she	pphs1
employed	employ	vvd
.	.	y
@!PINKSTON		zzq
:	:	y
And	and	cc
now	now	rt
this	this	dd1
was	be	vbdz
her	her	appge
first	first	md
picture	picture	nn1
.	.	y
@(Photographs-of-Wal)		zzc
@!Ms-BUNDLES		zzq
:	:	y
This	this	dd1
is	be	vbz
the	the	at
--		nn1_jj
the	the	at
oldest	old	jjt
picture	picture	nn1
that	that	cst
I	i	ppis1
know	know	vv0
of	of	io
her	her	ppho1
,	,	y
and	and	cc
I	i	ppis1
think	think	vv0
it	it	pph1
was	be	vbdz
probably	probably	rr
taken	take	vvn
in	in	ii
the	the	at
1890s	1890s	mc2
,	,	y
and	and	cc
you	you	ppy
can	can	vm_vv0%
...	...	...
@!PINKSTON		zzq
:	:	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
1.50	1.50	mc
a	a	at1
week	week	nnt1
as	as	ii_csa
a	a	at1
laundry	laundry	nn1
woman	woman	nn1
.	.	y
One	one	mc1
decade	decade	nnt1
later	later	rrr
,	,	y
her	her	appge
company	company	nn1
was	be	vbdz
making	make	vvg
$	$	nn
1,000	1,000	mc
a	a	at1
day	day	nnt1
.	.	y
How	how	rrq
did	do	vdd
she	she	pphs1
do	do	vdi
it	it	pph1
?	?	y
As	as	ii_csa
the	the	at
story	story	nn1
goes	go	vvz
,	,	y
she	she	pphs1
invented	invent	vvd
Wonderful	wonderful	jj
Hair	hair	nn1
Grower	grower	nn1
to	to	to
treat	treat	vvi
her	her	appge
own	own	da
bald	bald	jj
spots	spot	nn2
.	.	y
@(Footage-of-Bundles)		zzc
@!Ms-BUNDLES		zzq
:	:	y
She	she	pphs1
said	say	vvd
she	she	pphs1
was	be	vbdz
so	so	rg_rr
embarrassed	embarrassed	jj
by	by	ii
her	her	appge
appearance	appearance	nn1
,	,	y
that	that	cst
she	she	pphs1
prayed	pray	vvd
to	to	ii
God	god	np1_nn1@
for	for	if
a	a	at1
solution	solution	nn1
.	.	y
And	and	cc
then	then	rt
she	she	pphs1
said	say	vvd
three	three	mc
nights	night	nnt2
in	in	ii
a	a	at1
row	row	nn1
,	,	y
a	a	at1
big	big	jj
black	black	jj
man	man	nn1
came	come	vvd
to	to	ii
her	her	ppho1
in	in	ii_rp@
a	a	at1
dream	dream	nn1
and	and	cc
told	tell	vvd
her	her	ppho1
what	what	ddq
to	to	to
mix	mix	vvi
up	up	rp
for	for	if
her	her	appge
hair	hair	nn1
.	.	y
@(Footage-of-of-Walk)		zzc
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
Long	long	rr_jj_vv0@
before	before	ii_cs
Avon	avon	np1
or	or	cc
Mary	mary	np1
Kay	kay	np1
cosmetics	cosmetics	nn2
,	,	y
Madam	madam	nnb
Walker	walker	np1
was	be	vbdz
training	train	vvg@
thousands	thousand	m
of	of	io
African-American	african-american	jj
women	woman	nn2
to	to	to
sell	sell	vvi
her	her	appge
products	product	nn2
door	door	nn1
to	to	ii
door	door	nn1
.	.	y
@!Ms-BUNDLES		zzq
:	:	y
Oh	oh	uh
,	,	y
I	i	ppis1
love	love	vv0
this	this	dd1
.	.	y
This	this	dd1
is	be	vbz
a	a	at1
--		nn1_jj
a	a	at1
badge	badge	nn1
that	that	cst
the	the	at
Walker	walker	np1_nn1@
agents	agent	nn2
wore	wear	vvd
at	at	ii
their	their	appge
national	national	jj
conventions	convention	nn2
.	.	y
@(Photograph-of-peop)		zzc
@!Mr-STANLEY-NELSON-		zzq
:	:	y
Before	before	cs_ii
Madam	madam	nnb
Walker	walker	np1
,	,	y
for	for	if
black	black	jj
women	woman	nn2
,	,	y
there	there	ex
were	be	vbdr
really	really	rr
two	two	mc
choices	choice	nn2
,	,	y
you	you	ppy
know	know	vv0
,	,	y
f	f	zz1
--		zz
in	in	ii
--		nn1_jj
in	in	ii
--		nn1_jj
for	for	if
professions	profession	nn2
.	.	y
A	a	at1_zz1
black	black	jj
woman	woman	nn1
could	could	vm
b	b	zz1
--		nn1
be	be	vbi
a	a	at1
maid	maid	nn1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
schoolteacher	schoolteacher	nn1
,	,	y
if	if	cs
she	she	pphs1
was	be	vbdz
lucky	lucky	jj
,	,	y
in	in	ii
a	a	at1
black	black	jj
school	school	nn1
.	.	y
That	that	dd1
was	be	vbdz
about	about	ii
it	it	pph1
.	.	y
There	there	ex
was	be	vbdz
nothing	nothing	pn1
...	...	...
@(Photographs-of-Sta)		zzc
@!PINKSTON		zzq
:	:	y
@(Voiceover)		zzc
Filmmaker	filmmaker	np1
Stanley	stanley	np1
Nelson	nelson	np1
's	's	ge
grandfather	grandfather	nn1
was	be	vbdz
general	general	jj
manager	manager	nn1
of	of	io
the	the	at
Walker	walker	np1_nn1@
Company	company	nn1
.	.	y
In	in	ii
the	the	at
mid-	mid-	nn1
'	'	ge
80s	80s	mc2
for	for	cs%
his	his	appge
documentary	documentary	nn1
"	"	y
Two	two	mc
Dollars	dollar	nnu2
and	and	cc
a	a	at1
Dream	dream	nn1
,	,	y
"	"	y
Nelson	nelson	np1
interviewed	interview	vvd
some	some	dd
of	of	io
the	the	at
women	woman	nn2
who	who	pnqs
had	have	vhd
worked	work	vvn
for	for	if
Madam	madam	nnb
Walker	walker	np1
.	.	y
Unidentified	unidentified	jj
Woman	woman	nn1
1	1	mc1
:	:	y
Her	her	appge
mannerisms	mannerism	nn2
got	get	vvd_vvn
me	me	ppio1
.	.	y
I	i	ppis1
knew	know	vvd
she	she	pphs1
was	be	vbdz
a	a	at1
great	great	jj
woman	woman	nn1
,	,	y
and	and	cc
we	we	ppis2
looked	look	vvd
upon	upon	ii
her	her	ppho1
as	as	ii_csa
a	a	at1
great	great	jj
woman	woman	nn1
