##2000173		
None	none	pn
well	well	rr22_rr
.	.	y
Not	not	xx
far	far	rr
from	from	ii
my	my	appge
central	central	jj
Kansas	kansas	np1
home	home	rl_nn1
lie	lie	vv0
the	the	at
remains	remains	nn2%
of	of	io
an	a	at1
old	old	jj
railroad	railroad	nn1
line	line	nn1
.	.	y
The	the	at
rails	rail	nn2
and	and	cc
the	the	at
ties	tie	nn2
are	be	vbr
long	long	rr
gone	go	vvn
,	,	y
leaving	leave	vvg
a	a	at1
berm	berm	nn1
of	of	io
brush	brush	nn1
,	,	y
vines	vine	nn2
and	and	cc
weeds	weed	vvz_nn2
that	that	cst_dd1
runs	run	vvz_nn2
between	between	ii
a	a	at1
field	field	nn1
of	of	io
corn	corn	nn1
stubble	stubble	nn1
and	and	cc
a	a	at1
cattle	cattle	nn2
feed	feed	vv0
lot	lot	nn1
.	.	y
The	the	at
dense	dense	jj
cover	cover	nn1
and	and	cc
the	the	at
abundance	abundance	nn1
of	of	io
grain	grain	nn1
make	make	vv0
it	it	pph1
a	a	at1
natural	natural	jj
favorite	favorite	nn1_jj
for	for	if
the	the	at
long-tailed	long-tailed	jj
birds	bird	nn2
.	.	y
But	but	ccb
the	the	at
clean	clean	jj
,	,	y
straight	straight	jj
edges	edge	nn2
of	of	io
the	the	at
narrow	narrow	jj
covert	covert	jj_nn1@
,	,	y
and	and	cc
the	the	at
farmer	farmer	nn1
's	's	ge
request	request	nn1
that	that	cst
I	i	ppis1
hunt	hunt	vv0
only	only	rr
by	by	ii
myself	myself	ppx1
,	,	y
allowed	allow	vvd_vvn
two	two	mc
dozen	dozen	m
or	or	cc
so	so	rr_cs@
pheasants	pheasant	nn2
to	to	to
run	run	vvi
ahead	ahead	rl
and	and	cc
flush	flush	vvi
out	out	ii21
of	of	ii22
range	range	nn1
on	on	ii
my	my	appge
first	first	md
try	try	nn1@_vv0
.	.	y
Round	round	ii
two	two	mc
would	would	vm
be	be	vbi
different	different	jj
.	.	y
After	after	cs_ii
some	some	dd
scheming	scheming	jj@_vvg_nn1%
,	,	y
I	i	ppis1
came	come	vvd
up	up	rp
with	with	iw
a	a	at1
plan	plan	nn1
that	that	cst
a	a	at1
friend	friend	nn1
dubbed	dub	vvn_vvd@
"	"	y
Operation	operation	nn1
Feathered	feathered	jj_vvd
Storm	storm	nn1
.	.	y
"	"	y
One	one	mc1
cold	cold	nn1_jj
and	and	cc
sunny	sunny	jj
morning	morning	nnt1
,	,	y
I	i	ppis1
brazenly	brazenly	rr
parked	park	vvd
at	at	ii
the	the	at
end	end	nn1
of	of	io
the	the	at
corn-stubble	corn-stubble	jj_nn1
field	field	nn1
.	.	y
With	with	iw
the	the	at
motor	motor	nn1
of	of	io
my	my	appge
Bronco	bronco	nn1@_np1
running	running	nn1_vvg
,	,	y
I	i	ppis1
committed	commit	vvd
every	every	at1
major	major	jj
sin	sin	nn1
a	a	at1
hunter	hunter	nn1
can	can	vm
make	make	vvi
as	as	csa
he	he	pphs1
enters	enter	vvz
a	a	at1
cover	cover	nn1
.	.	y
I	i	ppis1
slammed	slam	vvd
my	my	appge
door	door	nn1
,	,	y
accidentally	accidentally	rr
hit	hit	vvd_vvn
the	the	at
horn	horn	nn1
,	,	y
loudly	loudly	rr
talked	talk	vvn_vvd
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
Confident	confident	jj
that	that	cst
I	i	ppis1
'd	have	vhd
telegraphed	telegraph	vvn
my	my	appge
position	position	nn1
to	to	ii
every	every	at1
pheasant	pheasant	nn1
in	in	ii
the	the	at
cover	cover	nn1
,	,	y
I	i	ppis1
got	get	vvd
back	back	rp
in	in	ii
the	the	at
truck	truck	nn1
and	and	cc
quietly	quietly	rr
made	make	vvn_vvd
an	a	at1
end-around	end-around	nn1_jj@
drive	drive	nn1
and	and	cc
parked	park	vvn
150	150	mc
yards	yard	nn2
from	from	ii
the	the	at
western	western	jj
end	end	nn1
of	of	io
the	the	at
cover	cover	nn1
.	.	y
This	this	dd1
time	time	nnt1
Mysti	mysti	nn1_np1
and	and	cc
I	i	ppis1
exited	exit	vvd
the	the	at
Bronco	bronco	np1_nn1@
quietly	quietly	rr
and	and	cc
sneaked	sneak	vvd
toward	toward	ii
the	the	at
field	field	nn1
.	.	y
Reaching	reach	vvg
the	the	at
top	top	nn1
of	of	io
the	the	at
berm	berm	nn1
,	,	y
I	i	ppis1
instantly	instantly	rr
knew	know	vvd
that	that	cst
the	the	at
ruse	ruse	nn1
had	have	vhd
worked	work	vvn
.	.	y
Two	two	mc
cockbirds	cockbirds	nn2
were	be	vbdr
within	within	ii
100	100	mc
yards	yard	nn2
and	and	cc
running	run	vvg_jj
fast	fast	jj_rr
--	--	x
away	away	ii21
from	from	ii22
the	the	at
decoy	decoy	nn1
commotion	commotion	nn1
to	to	ii
the	the	at
east	east	nd1
and	and	cc
right	right	rr_nn1_jj
at	at	ii
me	me	ppio1
!	!	y
One	one	mc1
bird	bird	nn1
flushed	flush	vvn_vvd_jj
and	and	cc
flew	fly	vvn
out	out	ii21
of	of	ii22
range	range	nn1
,	,	y
while	while	cs
the	the	at
other	other	jj
dove	dove	nn1
into	into	ii
the	the	at
depths	depth	nn2
of	of	io
a	a	at1
nearby	nearby	jj
tangle	tangle	nn1
.	.	y
Mysti	mysti	np1@_nn2_nn1@
was	be	vbdz
just	just	rr_jj@
seconds	seconds	nnt2_vvz%
behind	behind	ii
him	him	ppho1
,	,	y
ferreting	ferrete	vvg
out	out	rp
his	his	appge
trail	trail	nn1
in	in	ii
the	the	at
brush	brush	nn1
while	while	cs
I	i	ppis1
opted	opt	vvd
for	for	if
the	the	at
easy	easy	jj
walking	walking	nn1
of	of	io
the	the	at
gravel	gravel	nn1
berm	berm	nn1
.	.	y
About	about	rg
25	25	mc
yards	yard	nn2
away	away	rl
,	,	y
Mysti	mysti	np1_nn1
rooted	root	vvd@_vvn
the	the	at
pheasant	pheasant	nn1
from	from	ii
a	a	at1
clump	clump	nn1
of	of	io
weeds	weed	nn2
.	.	y
The	the	at
shot	shot	nn1
was	be	vbdz
easy	easy	jj
.	.	y
The	the	at
only	only	jj
thing	thing	nn1
that	that	cst
kept	keep	vvd
me	me	ppio1
from	from	ii
a	a	at1
quick	quick	jj
limit	limit	nn1
of	of	io
four	four	mc
birds	bird	nn2
was	be	vbdz
a	a	at1
comedy	comedy	nn1
of	of	io
errors	error	nn2
.	.	y
Roosters	rooster	nn2_np1@
flew	fly	vvd
dead-on	dead-on	jj
into	into	ii
the	the	at
sun	sun	nn1
,	,	y
I	i	ppis1
hurried	hurry	vvd
a	a	at1
shot	shot	nn1
and	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
bird	bird	nn1
.	.	y
All	all	db_rr@
in	in	ii_rp@
all	all	db
,	,	y
I	i	ppis1
managed	manage	vvd
to	to	to_ii
down	down	rp_ii@
a	a	at1
pair	pair	nn
of	of	io
roosters	rooster	nn2
out	out	ii21
of	of	ii22
six	six	mc
opportunities	opportunity	nn2
.	.	y
Without	without	iw
the	the	at
deception	deception	nn1
I	i	ppis1
may	may	vm
never	never	rr
have	have	vhi
had	have	vhn@
a	a	at1
single	single	jj
chance	chance	nn1
.	.	y
Though	though	cs
there	there	ex
is	be	vbz
no	no	at
way	way	nn1
to	to	to
figure	figure	vvi
out	out	rp
what	what	ddq
's	be	vbz
going	go	vvg
on	on	rp@
in	in	ii
the	the	at
pea-size	pea-size	jj
brain	brain	nn1
of	of	io
a	a	at1
rooster	rooster	nn1
pheasant	pheasant	nn1
,	,	y
you	you	ppy
can	can	vm
often	often	rr
predict	predict	vvi
the	the	at
situations	situation	nn2
in	in	ii
which	which	ddq
pheasants	pheasant	nn2
are	be	vbr
most	most	rgt
likely	likely	jj
to	to	to
run	run	vvi
,	,	y
and	and	cc
when	when	cs_rrq
the	the	at
birds	bird	nn2
will	will	vm
be	be	vbi
more	more	rgr
likely	likely	jj
to	to	to
hold	hold	vvi
.	.	y
Weather	weather	nn1
can	can	vm
be	be	vbi
a	a	at1
major	major	jj
factor	factor	nn1
.	.	y
Fill	fill	vv0
the	the	at
sky	sky	nn1
with	with	iw
clouds	cloud	nn2
,	,	y
cover	cover	vv0
the	the	at
ground	ground	nn1
with	with	iw
snow	snow	nn1
and	and	cc
drop	drop	vv0
the	the	at
temperature	temperature	nn1
to	to	ii_to
well	well	rr
below	below	rg
freezing	freezing	jj
,	,	y
and	and	cc
the	the	at
birds	bird	nn2
that	that	cst
sprinted	sprint	vvd
like	like	ii
antelope	antelope	nn1
when	when	cs_rrq
it	it	pph1
was	be	vbdz
warm	warm	jj
will	will	vm_nn1@
probably	probably	rr
hold	hold	vvi
as	as	rg
tight	tight	rr_jj
as	as	csa
stones	stone	nn2
.	.	y
Let	let	vv0
the	the	at
weather	weather	nn1
turn	turn	vvi
to	to	ii
sunny	sunny	jj
and	and	cc
70	70	mc
deg	deg	nnu
,	,	y
however	however	rr
,	,	y
and	and	cc
the	the	at
birds	bird	nn2
will	will	vm
probably	probably	rr
become	become	vvi
as	as	rg
footloose	footloose	jj
as	as	csa
fraternity	fraternity	nn1
brothers	brother	nn2
on	on	ii
spring	spring	nn1
break	break	nn1
.	.	y
The	the	at
cover	cover	nn1
that	that	cst
the	the	at
birds	bird	nn2
are	be	vbr
keeping	keep	vvg
can	can	vm
be	be	vbi
a	a	at1
determining	determining	jj
factor	factor	nn1
as	as	rr21_rg
well	well	rr22_rr
.	.	y
Long	long	rr_jj
,	,	y
linear	linear	jj
covers	cover	nn2
like	like	ii
row	row	nn1
crop	crop	nn1
fields	field	nn2
and	and	cc
shelterbelts	shelterbelts	nn2
are	be	vbr
as	as	rg@
conducive	conducive	jj
to	to	ii
running	run	vvg_jj_nn1
pheasants	pheasant	nn2
as	as	ii_csa
an	a	at1
open	open	jj
highway	highway	nn1
is	be	vbz
to	to	ii
speeding	speed	vvg_jj@
Porsches	porsches	nn2_np1
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
thicket	thicket	nn1
even	even	rr
a	a	at1
snake	snake	nn1
would	would	vm
struggle	struggle	vvi
through	through	rp@
,	,	y
there	there	ex
are	be	vbr
dense	dense	jj
covers	cover	nn2
where	where	rrq_cs
the	the	at
birds	bird	nn2
are	be	vbr
more	more	rgr
likely	likely	jj
to	to	to
hold	hold	vvi
.	.	y
Hunting	hunt	vvg@
such	such	da
an	a	at1
area	area	nn1
can	can	vm
make	make	vvi
for	for	if
tough	tough	jj_nn1@
,	,	y
laborious	laborious	jj
walking	walking	nn1
,	,	y
but	but	ccb
it	it	pph1
is	be	vbz
quite	quite	rg
often	often	rr
worth	worth	ii
the	the	at
effort	effort	nn1
.	.	y
We	we	ppis2
continued	continue	vvd
to	to	to
play	play	vvi
a	a	at1
game	game	nn1
of	of	io
chase	chase	nn1
with	with	iw
the	the	at
Kansas	kansas	np1
pheasants	pheasant	nn2
the	the	at
rest	rest	nn1
of	of	io
the	the	at
morning	morning	nnt1
and	and	cc
into	into	ii
the	the	at
afternoon	afternoon	nnt1
.	.	y
The	the	at
later	later	jjr_rrr
it	it	pph1
got	get	vvd
,	,	y
the	the	at
more	more	rrr_rgr
skittish	skittish	vv0_jj
the	the	at
birds	bird	nn2
became	become	vvd
.	.	y
They	they	pphs2
could	could	vm
simply	simply	rr
run	run	vvi
too	too	rg
easily	easily	rr
in	in	ii
the	the	at
grass	grass	nn1
and	and	cc
the	the	at
draws	draw	nn2
.	.	y
"	"	y
We	we	ppis2
ca	can	vm
n't	n't	xx
stop	stop	vvi
them	them	ppho2
from	from	ii
running	run	vvg_nn1_jj
,	,	y
"	"	y
said	say	vvd
J.R	jr	np1
.	.	y
Dienst	dienst	vv0_nn1_np1@
,	,	y
the	the	at
owner	owner	nn1
of	of	io
the	the	at
land	land	nn1
we	we	ppis2
were	be	vbdr
hunting	hunt	vvg@_nn1
.	.	y
"	"	y
But	but	ccb
I	i	ppis1
do	do	vd0
have	have	vhi
some	some	dd
places	place	nn2
where	where	rrq
it	it	pph1
'll	will	vm
be	be	vbi
a	a	rr21
little	little	rr22
tougher	tough	jjr
for	for	if
them	them	ppho2
--	--	x
and	and	cc
for	for	if
us	us	ppio2
.	.	y
"	"	y
We	we	ppis2
quickly	quickly	rr
cruised	cruise	vvd
some	some	dd
of	of	io
Dienst	dienst	np1_nn1
's	's	ge
30,000	30,000	mc
plus	plus	ii
acres	acre	nnu2
of	of	io
managed	managed	jj%
habitat	habitat	nn1
looking	look	vvg
for	for	if
one	one	mc1_pn1
last	last	md
field	field	nn1
of	of	io
the	the	at
day	day	nnt1
.	.	y
Dienst	dienst	vv0
finally	finally	rr
led	lead	vvd_vvn
us	us	ppio2
to	to	ii
"	"	y
the	the	at
jungle	jungle	nn1
.	.	y
"	"	y
During	during	ii
the	the	at
summer	summer	nnt1
and	and	cc
the	the	at
early	early	rr_jj
fall	fall	vv0_nn1
the	the	at
vast	vast	jj
field	field	nn1
of	of	io
cane	cane	nn1
created	create	vvn
by	by	ii
the	the	at
federal	federal	jj
government	government	nn1
's	's	ge_vbz
Conservation	conservation	nn
Reserve	reserve	jj_nn1
Program	program	nn1
had	have	vhd
stood	stand	vvn
higher	high	rrr@_jjr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
snows	snow	nn2
,	,	y
ice	ice	nn1
storms	storm	nn2
and	and	cc
the	the	at
constant	constant	jj
pounding	pounding	nn1
of	of	io
the	the	at
wind	wind	nn1
had	have	vhd
the	the	at
field	field	nn1
knee-high	knee-high	jj_nn1%
at	at	ii
the	the	at
highest	high	jjt
by	by	ii
early	early	jj
January	january	npm1
.	.	y
"	"	y
They	they	pphs2
have	have	vh0
everything	everything	pn1
they	they	pphs2
need	need	vv0
here	here	rl
,	,	y
"	"	y
said	say	vvd
Dienst	dienst	np1_nn1
.	.	y
"	"	y
There	there	ex
are	be	vbr
tons	ton	nnu2
of	of	io
food	food	nn1
and	and	cc
plenty	plenty	pn
of	of	io
cover	cover	nn1
.	.	y
Hopefully	hopefully	rr
the	the	at
cover	cover	nn1
is	be	vbz
thick	thick	rr@_jj
enough	enough	rr
near	near	ii
the	the	at
ground	ground	nn1
that	that	cst
they	they	pphs2
'll	will	vm
have	have	vhi
to	to	to
slow	slow	vvi
down	down	rp
a	a	rr21_at1
little	little	rr22_jj
.	.	y
Even	even	cs21
if	if	cs22
they	they	pphs2
do	do	vd0
run	run	vvi
,	,	y
we	we	ppis2
'll	will	vm
be	be	vbi
able	able	jk
to	to	to
keep	keep	vvi
up	up	rp
and	and	cc
the	the	at
open	open	jj
green	green	jj_nn1
wheat	wheat	nn1
fields	field	nn2
around	around	ii
us	us	ppio2
should	should	vm
hold	hold	vvi
them	them	ppho2
tight	tight	rr_jj
at	at	ii
the	the	at
end	end	nn1
.	.	y
"	"	y
We	we	ppis2
started	start	vvd
at	at	ii
the	the	at
southwestern	southwestern	jj
end	end	nn1
,	,	y
moving	move	vvg
in	in	ii_rp@
a	a	at1
100-yard	100-yard	jj_nn1
swath	swath	nn1
eastward	eastward	rl
toward	toward	ii
a	a	at1
blocker	blocker	nn1
.	.	y
The	the	at
first	first	md
pass	pass	nn1
drew	draw	vvd
only	only	rr
a	a	at1
few	few	da2
hen	hen	nn1
flushes	flush	nn2_vvz
.	.	y
We	we	ppis2
turned	turn	vvd
west	west	nd1
again	again	rt
and	and	cc
took	take	vvd
a	a	at1
new	new	jj
chunk	chunk	nn1
from	from	ii
the	the	at
field	field	nn1
.	.	y
Half-way	halfway	rr
through	through	ii
that	that	dd1
pass	pass	nn1
Mysti	mysti	nn1_np1_nn2@
hit	hit	vvd_vvn_nn1@
pay	pay	nn1_vv0
dirt	dirt	nn1
,	,	y
pushing	push	vvg
five	five	mc
roosters	rooster	nn2
and	and	cc
as	as	rg@_csa
many	many	da2
hens	hen	nn2
into	into	ii
the	the	at
sky	sky	nn1
from	from	ii
a	a	at1
tangle	tangle	nn1
of	of	io
cane	cane	nn1
.	.	y
Amazingly	amazingly	rr
,	,	y
all	all	db_rr@
five	five	mc
cockbirds	cockbirds	nn2
fell	fall	vvd
.	.	y
Fifty	fifty	mc
yards	yard	nn2
away	away	rl
,	,	y
Murphy	murphy	np1
's	's	ge
Lab	lab	nn1
flushed	flush	vvd_vvn
a	a	at1
long-spurred	long-spurred	jj_nn1
two-year-old	two-year-old	nn1_jj
that	that	cst
we	we	ppis2
'd	have	vm_vhd
already	already	rr
walked	walk	vvn
past	past	rl
.	.	y
The	the	at
dog	dog	nn1
's	's	ge
owner	owner	nn1
connected	connect	vvn
on	on	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
field	field	nn1
,	,	y
moving	move	vvg
from	from	ii
east	east	nd1
to	to	ii
west	west	nd1
while	while	cs
gradually	gradually	rr
creeping	creep	vvg
northward	northward	rl
with	with	iw
each	each	dd1
pass	pass	nn1
.	.	y
The	the	at
combination	combination	nn1
of	of	io
a	a	at1
setting	setting	nn1_jj@
sun	sun	nn1
and	and	cc
sore	sore	jj
muscles	muscle	nn2
forced	force	vvd_vvn
us	us	ppio2
to	to	to
quit	quit	vvi
a	a	at1
single	single	jj
bird	bird	nn1
short	shorts	nn1%_jj
of	of	io
our	our	appge
collective	collective	jj_nn1
limit	limit	nn1
of	of	io
20	20	mc
cockbirds	cockbirds	nn2
.	.	y
All	all	db
five	five	mc
hunters	hunter	nn2
were	be	vbdr
overjoyed	overjoyed	jj
with	with	iw
the	the	at
day	day	nnt1
.	.	y
Dienst	dienst	nn1_np1@_vv0
was	be	vbdz
even	even	rr
more	more	rgr
ecstatic	ecstatic	jj
with	with	iw
the	the	at
promise	promise	nn1
of	of	io
the	the	at
next	next	md
day	day	nnt1
.	.	y
"	"	y
Believe	believe	vv0
me	me	ppio1
,	,	y
"	"	y
he	he	pphs1
said	say	vvd
,	,	y
"	"	y
for	for	if
every	every	at1
bird	bird	nn1
that	that	cst_dd1
's	be	vbz_vhz@
flushed	flush	vvn
another	another	dd1
two	two	mc
or	or	cc
three	three	mc
have	have	vh0
been	be	vbn
pushing	push	vvg
north	north	nd1
on	on	ii
us	us	ppio2
.	.	y
We	we	ppis2
'll	will	vm
get	get	vvi
on	on	ii
them	them	ppho2
tomorrow	tomorrow	rt
morning	morning	nnt1
before	before	cs
they	they	pphs2
have	have	vh0
a	a	at1
chance	chance	nn1
to	to	to
scatter	scatter	vvi
.	.	y
"	"	y
We	we	ppis2
were	be	vbdr
back	back	rp
at	at	ii
"	"	y
the	the	at
jungle	jungle	nn1
"	"	y
early	early	rr
the	the	at
next	next	md
morning	morning	nnt1
,	,	y
starting	start	vvg
exactly	exactly	rr
where	where	cs_rrq
we	we	ppis2
'd	have	vhd
left	leave	vvn
off	off	rp
.	.	y
The	the	at
first	first	md
rooster	rooster	nn1
of	of	io
the	the	at
morning	morning	nnt1
flushed	flush	vvd_vvn
five	five	mc
minutes	minute	nnt2
into	into	ii
the	the	at
hunt	hunt	nn1
.	.	y
It	it	pph1
was	be	vbdz
an	a	at1
omen	omen	nn1
of	of	io
things	thing	nn2
to	to	to
come	come	vvi
.	.	y
The	the	at
farther	far	rrr
we	we	ppis2
progressed	progress	vvd
to	to	ii
the	the	at
north	north	nd1
,	,	y
the	the	at
tougher	tough	jjr
the	the	at
walking	walking	nn1
became	become	vvd
.	.	y
A	a	at1
month	month	nnt1
of	of	io
northerly	northerly	jj
winds	wind	nn2
had	have	vhd
been	be	vbn
stacking	stacking	nn1
tumbleweeds	tumbleweeds	vvz_nn2
into	into	ii
the	the	at
northern	northern	jj
third	third	md
of	of	io
the	the	at
field	field	nn1
.	.	y
The	the	at
tumbleweeds	tumbleweed	nn2
looked	look	vvn_vvd
like	like	ii
a	a	at1
mass	mass	nn1
of	of	io
cockleburs	cockleburs	nn2
stuck	stick	vvn_vvd
in	in	ii
a	a	at1
setter	setter	nn1
's	's	ge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
hunters	hunter	nn2
who	who	pnqs
had	have	vhd
to	to	to
high	high	rr@
step	step	vvi
their	their	appge
way	way	nn1
through	through	ii
the	the	at
tangles	tangle	nn2
.	.	y
The	the	at
pheasants	pheasant	nn2
were	be	vbdr
keeping	keep	vvg
us	us	ppio2
too	too	rg
busy	busy	jj
.	.	y
Pheasants	pheasant	nn2
tired	tired	jj
of	of	io
the	the	at
constant	constant	jj
pressure	pressure	nn1
rose	rise	vvd_nn1
out	out	ii21
of	of	ii22
range	range	nn1
.	.	y
Enough	enough	rr_dd
abandoned	abandon	vvd_vvn
their	their	appge
running	running	jj_nn1
game	game	nn1
and	and	cc
tried	try	vvd
to	to	to
sit	sit	vvi
tight	tight	rr_jj
,	,	y
only	only	rr
to	to	to
be	be	vbi
flushed	flush	vvn
by	by	ii
one	one	mc1
of	of	io
the	the	at
trio	trio	nn1
of	of	io
dogs	dog	nn2
.	.	y
Finally	finally	rr
we	we	ppis2
found	find	vvd
ourselves	ourselves	ppx2
heading	head	vvg
into	into	ii
the	the	at
final	final	jj_nn1
corner	corner	nn1
of	of	io
the	the	at
field	field	nn1
.	.	y
Pheasant	pheasant	nn1
tracks	track	nn2
littered	litter	vvd
the	the	at
ground	ground	nn1
.	.	y
Fifty	fifty	mc
yards	yard	nn2
from	from	ii
where	where	rrq
the	the	at
blocker	blocker	nn1
stood	stand	vvd
,	,	y
birds	bird	nn2
began	begin	vvd
flushing	flush	vvg
like	like	ii_jj@
popcorn	popcorn	nn1
.	.	y
It	it	pph1
started	start	vvd
with	with	iw
a	a	at1
single	single	jj
flush	flush	nn1_jj
,	,	y
seconds	second	nnt2
later	later	rrr
a	a	at1
pair	pair	nn
rose	rise	vvd_nn1
,	,	y
then	then	rt
a	a	at1
feathered	feathered	jj
melee	melee	nn1
erupted	erupt	vvd_vvn
.	.	y
Shouts	shout	nn2
of	of	io
"	"	y
rooster	rooster	nn1
,	,	y
rooster	rooster	nn1
,	,	y
rooster	rooster	nn1
,	,	y
"	"	y
came	come	vvd
from	from	ii
every	every	at1
direction	direction	nn1
while	while	cs
our	our	appge
eyes	eye	nn2
searched	search	vvd_vvn
the	the	at
sky	sky	nn1
in	in	ii31
front	front	ii32
of	of	ii33
us	us	ppio2
,	,	y
trying	try	vvg
to	to	to
separate	separate	vvi
the	the	at
gaudy	gaudy	jj
cockbirds	cockbirds	nn2
from	from	ii
the	the	at
drab	drab	jj_nn1
hens	hen	nn2
.	.	y
Within	within	ii
seconds	second	nnt2
,	,	y
someone	someone	pn1
was	be	vbdz
yelling	yell	vvg
"	"	y
No	no	xx
more	more	rrr_dar
,	,	y
we	we	ppis2
're	be	vbr
limited	limit	vvn_jj
!	!	y
"	"	y
But	but	ccb
the	the	at
birds	bird	nn2
we	we	ppis2
'd	have	vhd
herded	herd	vvn
to	to	ii
the	the	at
northeastern	northeastern	jj
corner	corner	nn1
of	of	io
the	the	at
field	field	nn1
were	be	vbdr
rising	rise	vvg
long	long	rr_jj
after	after	cs_ii
that	that	dd1
last	last	md
shell	shell	z'
had	have	vhd
been	be	vbn
unloaded	unload	vvn
.	.	y
Mysti	mysti	nn2_np1@
flushed	flush	vvd_vvn
another	another	dd1
rooster	rooster	nn1
as	as	csa
she	she	pphs1
came	come	vvd
trotting	trot	vvg
back	back	rp
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
rooster	rooster	nn1
when	when	cs_rrq
she	she	pphs1
passed	pass	vvd
a	a	at1
small	small	jj
tuft	tuft	nn1
of	of	io
wheat	wheat	nn1
20	20	mc
yards	yard	nn2
from	from	ii
the	the	at
cane	cane	nn1
.	.	y
No	no	xx
doubt	doubt	rr22
the	the	at
bird	bird	nn1
was	be	vbdz
still	still	rr
trying	try	vvg
to	to	to
do	do	vdi
what	what	ddq
he	he	pphs1
was	be	vbdz
born	born	vvn
to	to	to
do	do	vdi
--	--	x
run	run	nn1
--	--	x
even	even	rr
in	in	ii
the	the	at
shoe-top	shoe-top	jj_nn1
high	high	jj
wheat	wheat	nn1
.	.	y
The	the	at
other	other	jj_nn1@
four	four	mc
hunters	hunter	nn2
were	be	vbdr
jabbering	jabber	vvg
like	like	ii_jj@
children	child	nn2
who	who	pnqs
'd	have	vhd_vm
just	just	rr
demolished	demolish	vvn
a	a	at1
mountain	mountain	nn1
of	of	io
Christmas	christmas	nnt1
packages	package	nn2
.	.	y
Talk	talk	nn1_vv0
was	be	vbdz
of	of	io
good	good	jj
shots	shot	nn2
,	,	y
bad	bad	jj
shots	shot	nn2
,	,	y
great	great	jj
dog	dog	nn1
work	work	nn1
and	and	cc
,	,	y
of	of	rr21
course	course	rr22
,	,	y
the	the	at
hundreds	hundred	m
(	(	y
yes	yes	uh
,	,	y
hundreds	hundred	m
!	!	y
)	)	y
of	of	io
pheasants	pheasant	nn2
we	we	ppis2
'd	have	vhd
seen	see	vvn
.	.	y
But	but	ccb
my	my	appge
mind	mind	nn1
again	again	rt
turned	turn	vvn_vvd
