##4002466		
Key	key	jj_nn1
in	in	ii
secondary	secondary	jj
social	social	jj
studies	study	nn2
classrooms	classroom	nn2
.	.	y
The	the	at
articles	article	nn2
and	and	cc
books	book	nn2
we	we	ppis2
cited	cite	vvd
provide	provide	vv0
excellent	excellent	jj
discussions	discussion	nn2
of	of	io
that	that	dd1
nature	nature	nn1
.	.	y
We	we	ppis2
also	also	rr
recommend	recommend	vv0
helpful	helpful	jj
articles	article	nn2
and	and	cc
books	book	nn2
with	with	iw
no	no	at
specific	specific	jj
subject	subject	nn1
area	area	nn1
focus	focus	nn1_vv0
by	by	ii
Beamon	beamon	np1_nn1
(	(	y
2002	2002	mc
)	)	y
,	,	y
Fogarty	fogarty	np1
(	(	y
1997	1997	mc
)	)	y
,	,	y
Lambros	lambros	np1_nn2
(	(	y
2004	2004	mc
)	)	y
,	,	y
Krynock	krynock	np1_nn1_vv0
and	and	cc
Robb	robb	np1
(	(	y
1999	1999	mc
)	)	y
,	,	y
Renzulli	renzulli	np1
(	(	y
2000,2001	2000,2001	mc
)	)	y
,	,	y
Souders	souders	np1_nn2
and	and	cc
Prescott	prescott	np1
(	(	y
1999	1999	mc
)	)	y
,	,	y
and	and	cc
Torp	torp	np1_nn1_vv0
and	and	cc
Sage	sage	nn1
(	(	y
2002	2002	mc
)	)	y
.	.	y
Although	although	cs
we	we	ppis2
do	do	vd0
not	not	xx
propose	propose	vvi
an	a	at1
overall	overall	jj_nn1
framework	framework	nn1
for	for	if
incorporating	incorporate	vvg
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
into	into	ii
secondary	secondary	jj
social	social	jj
studies	study	nn2
instruction	instruction	nn1
,	,	y
we	we	ppis2
suggest	suggest	vv0
several	several	da2
features	feature	nn2
that	that	cst
are	be	vbr
also	also	rr
recommended	recommend	vvn_vvd
in	in	ii
the	the	at
discussions	discussion	nn2
of	of	io
many	many	da2
experts	expert	nn2
on	on	ii
problem-based	problem-based	jj_nn1
learning	learning	nn1
and	and	cc
related	related	jj_vvd
instructional	instructional	jj
approaches	approach	nn2
.	.	y
One	one	mc1
suggestion	suggestion	nn1
is	be	vbz
that	that	cst_dd1
in	in	ii
secondary	secondary	jj_nn1
classrooms	classroom	nn2
,	,	y
small-group	small-group	jj
collaborative	collaborative	jj
inquiry	inquiry	nn1
,	,	y
rather	rather	ii21_cs21@
than	than	ii22_cs22@
individual	individual	jj
inquiry	inquiry	nn1
,	,	y
often	often	rr
leads	lead	vvz
to	to	ii
better	better	jjr
inquiry	inquiry	nn1
products	product	nn2
and	and	cc
better	better	jjr_rrr
learning	learning	nn1
.	.	y
Collaboration	collaboration	nn1
usually	usually	rr
capitalizes	capitalize	vvz
on	on	ii
the	the	at
"	"	y
five	five	mc
heads	head	nn2
are	be	vbr
better	better	rrr_jjr
than	than	csn
one	one	mc1
"	"	y
phenomenon	phenomenon	nn1
,	,	y
which	which	ddq
leads	lead	vvz
to	to	ii
high-quality	high-quality	jj
inquiry	inquiry	nn1
products	product	nn2
.	.	y
Students	student	nn2
in	in	ii
a	a	at1
small	small	jj
group	group	nn1
can	can	vm
learn	learn	vvi
from	from	ii
others	others	nn2
'	'	ge
explanations	explanation	nn2
of	of	io
tasks	task	nn2
,	,	y
concepts	concept	nn2
,	,	y
and	and	cc
larger	large	jjr
ideas	idea	nn2
and	and	cc
from	from	ii
others	others	nn2
'	'	ge
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
,	,	y
teachers	teacher	nn2
should	should	vm
offer	offer	vvi
options	option	nn2
from	from	ii
which	which	ddq
students	student	nn2
can	can	vm
choose	choose	vvi
.	.	y
For	for	rex21
example	example	rex22
,	,	y
a	a	at1
teacher	teacher	nn1
could	could	vm
include	include	vvi
as	as	csa_ii@
options	option	nn2
a	a	at1
selection	selection	nn1
of	of	io
tasks	task	nn2
from	from	ii
the	the	at
teacher	teacher	nn1
's	's	ge
edition	edition	nn1
of	of	io
the	the	at
course	course	nn1
textbook	textbook	nn1
and	and	cc
several	several	da2
of	of	io
the	the	at
teacher-created	teacher-created	jj_nn1
tasks	task	nn2
presented	present	vvn_vvd
in	in	ii
this	this	dd1
article	article	nn1
.	.	y
Allowing	allow	vvg
students	student	nn2
to	to	to
choose	choose	vvi
the	the	at
tasks	task	nn2
that	that	cst
they	they	pphs2
will	will	vm
carry	carry	vvi
out	out	rp
increases	increase	vvz
the	the	at
chance	chance	nn1
that	that	cst
they	they	pphs2
will	will	vm
be	be	vbi
interested	interested	jj
in	in	ii
the	the	at
topics	topic	nn2
,	,	y
that	that	cst
they	they	pphs2
have	have	vh0
the	the	at
investigation	investigation	nn1
skills	skill	nn2
needed	need	vvn_vvd
for	for	if
the	the	at
tasks	task	nn2
,	,	y
and	and	cc
that	that	cst
they	they	pphs2
have	have	vh0
useful	useful	jj
prior	prior	jj
knowledge	knowledge	nn1
.	.	y
Those	those	dd2
three	three	mc
circumstances	circumstance	nn2
can	can	vm
produce	produce	vvi
the	the	at
motivation	motivation	nn1
and	and	cc
capabilities	capability	nn2
required	require	vvn
for	for	if
successful	successful	jj
task	task	nn1
completion	completion	nn1
.	.	y
Nevertheless	nevertheless	rr
,	,	y
even	even	cs21
when	when	cs22
students	student	nn2
work	work	vv0
in	in	ii_rp@
groups	group	nn2
on	on	ii
tasks	task	nn2
involving	involve	vvg
topics	topic	nn2
of	of	io
interest	interest	nn1
to	to	ii
them	them	ppho2
and	and	cc
on	on	ii
tasks	task	nn2
for	for	if
which	which	ddq
they	they	pphs2
have	have	vh0
relevant	relevant	jj
investigation	investigation	nn1
skills	skill	nn2
and	and	cc
prior	prior	jj
knowledge	knowledge	nn1
,	,	y
they	they	pphs2
need	need	vv0
to	to	to
be	be	vbi
monitored	monitor	vvn
by	by	ii
the	the	at
teacher	teacher	nn1
to	to	to
provide	provide	vvi
guidance	guidance	nn1
and	and	cc
other	other	jj
support	support	nn1
.	.	y
<p>	<p>	y
We	we	ppis2
believe	believe	vv0
that	that	cst
the	the	at
successful	successful	jj
use	use	nn1
of	of	io
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
by	by	ii
a	a	at1
secondary	secondary	jj
social	social	jj
studies	study	nn2
teacher	teacher	nn1
who	who	pnqs
has	have	vhz
not	not	xx
already	already	rr
incorporated	incorporate	vvn
problem-based	problem-based	jj_nn1
learning	learning	nn1
,	,	y
the	the	at
case	case	nn1
method	method	nn1
,	,	y
issues-centered	issues-centered	jj
instruction	instruction	nn1
,	,	y
or	or	cc
a	a	at1
related	related	jj
approach	approach	nn1
into	into	ii
her	her	ppho1
or	or	cc
his	his	appge
classroom	classroom	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
needs	need	vvz_nn2
to	to	to
develop	develop	vvi
the	the	at
requisite	requisite	jj_nn1
management	management	nn1
skills	skill	nn2
and	and	cc
procedures	procedure	nn2
before	before	ii
considering	consider	vvg
large-scale	large-scale	jj
use	use	nn1
of	of	io
one	one	mc1
of	of	io
the	the	at
approaches	approach	nn2
.	.	y
Moreover	moreover	rr
,	,	y
the	the	at
students	student	nn2
need	need	vv0
to	to	to
develop	develop	vvi
their	their	appge
thinking	thinking	nn1
,	,	y
investigation	investigation	nn1
,	,	y
and	and	cc
collaboration	collaboration	nn1
skills	skill	nn2
,	,	y
which	which	ddq
are	be	vbr
essential	essential	jj
for	for	if
successful	successful	jj
participation	participation	nn1
in	in	ii
the	the	at
approaches	approach	nn2
.	.	y
One	one	mc1
reason	reason	nn1
we	we	ppis2
believe	believe	vv0
in	in	ii_rp@
the	the	at
types	type	nn2
of	of	io
thinking	thinking	nn1_vvg
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
presented	present	vvn_vvd
in	in	ii
this	this	dd1
article	article	nn1
is	be	vbz
that	that	cst
the	the	at
teacher	teacher	nn1
's	's	ge
and	and	cc
student	student	nn1
's	's	ge
skills	skill	nn2
improve	improve	vv0
through	through	ii
such	such	da
tasks	task	nn2
and	and	cc
can	can	vm
eventually	eventually	rr
be	be	vbi
applied	apply	vvn
to	to	ii
the	the	at
types	type	nn2
of	of	io
tasks	task	nn2
typically	typically	rr
recommended	recommend	vvn
by	by	ii
proponents	proponent	nn2
of	of	io
problem-based	problem-based	jj_nn1
learning	learning	nn1
,	,	y
the	the	at
case	case	nn1
method	method	nn1
,	,	y
issues-centered	issues-centered	jj
instruction	instruction	nn1
,	,	y
and	and	cc
other	other	jj
inquiry	inquiry	nn1
approaches	approach	vvz_nn2
for	for	if
social	social	jj
studies	study	nn2
classes	class	nn2
.	.	y
Although	although	cs
the	the	at
sample	sample	nn1
tasks	task	nn2
presented	present	vvn_vvd
here	here	rl
are	be	vbr
low	low	jj_rr@
to	to	to
moderate	moderate	vvi
in	in	ii
complexity	complexity	nn1
and	and	cc
in	in	ii
the	the	at
demands	demand	nn2
placed	place	vvn
on	on	ii
students	student	nn2
'	'	ge
thinking	thinking	nn1
and	and	cc
investigation	investigation	nn1
skills	skill	nn2
,	,	y
the	the	at
use	use	nn1
of	of	io
such	such	da
types	type	nn2
of	of	io
tasks	task	nn2
can	can	vm
lay	lay	vvi
the	the	at
foundation	foundation	nn1
for	for	if
successful	successful	jj
use	use	nn1
of	of	io
more	more	rgr_dar
complex	complex	jj_nn1
and	and	cc
more	more	rgr
demanding	demanding	jj@
thinking	thinking	nn1
and	and	cc
inquiry	inquiry	nn1
tasks	task	nn2
.	.	y
FIGURE	figure	nn1_vv0%
1	1	mc1
.	.	y
Some	some	dd
realistic	realistic	jj
uses	use	nn2
of	of	io
social	social	jj
studies	study	nn2
content	content	vv0@_nn1_jj
by	by	ii
adolescents	adolescent	nn2
and	and	cc
young	young	jj
adults	adult	nn2
.	.	y
<p>	<p>	y
Types	type	nn2
of	of	io
Examples	example	nn2
and	and	cc
Social	social	jj
Studies	study	nn2
Subjects	subject	nn2
to	to	ii
which	which	ddq
Those	those	dd2
Apply	apply	vv0
<p>	<p>	y
--	--	x
Developing	developing	jj_nn1@_vvg
and	and	cc
maintaining	maintain	vvg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
SOC	soc	np1_nn1
5	5	mc
,	,	y
SOC	soc	np1_nn1
6	6	mc
,	,	y
WH	wh	np1
1	1	mc1
,	,	y
WH	wh	np1
3	3	mc
,	,	y
WH	wh	np1
4	4	mc
<p>	<p>	y
--	--	x
Speaking	speak	vvg_nn1@
knowledgeably	knowledgeably	rr
and	and	cc
positively	positively	rr
about	about	ii
one	one	pn1_mc1
's	's	ge_vbz
ethnic	ethnic	jj
,	,	y
religious	religious	jj
,	,	y
or	or	cc
socioeconomic	socioeconomic	jj
heritage	heritage	nn1
--	--	x
PSY	psy	nn1_np1
2	2	mc
,	,	y
SOC	soc	np1_nn1
3	3	mc
,	,	y
USH	ush	np1_vv0_nn1
6	6	mc
,	,	y
WH	wh	np1
5	5	mc
<p>	<p>	y
--	--	x
Helping	help	vvg_nn1
another	another	dd1
individual	individual	nn1_jj
whom	whom	pnqo
one	one	pn1
wants	want	vvz
to	to	to
help	help	vvi
--	--	x
GOV	gov	x         
2	2	mc
,	,	y
GOV	gov	x         
4	4	mc
,	,	y
PSY	psy	np1_nn1
1	1	mc1
,	,	y
PSY	psy	np1_nn1_jj
2	2	mc
,	,	y
PSY	psy	np1_nn1_jj
5	5	mc
,	,	y
SOC	soc	np1_nn1
6	6	mc
<p>	<p>	y
--	--	x
Taking	take	vvg
a	a	at1
stand	stand	nn1
on	on	ii
an	a	at1
issue	issue	nn1
about	about	ii
which	which	ddq
one	one	pn1
feels	feel	vvz
strongly	strongly	rr
--	--	x
ECON	econ	nn1
4	4	mc
,	,	y
GOV	gov	x         
3	3	mc
,	,	y
PSY	psy	np1_nn1_jj
4	4	mc
,	,	y
SOC	soc	np1_nn1
4	4	mc
<p>	<p>	y
--	--	x
Talking	talk	vvg_nn1@
with	with	iw
one	one	pn1_mc1
's	's	ge_vbz
young	young	jj
children	child	nn2
about	about	ii
issues	issue	nn2
that	that	cst
bother	bother	vv0
them	them	ppho2
--	--	x
GOV	gov	x         
5	5	mc
,	,	y
SOC	soc	np1_nn1
3	3	mc
,	,	y
PSY	psy	np1_nn1_jj
3	3	mc
,	,	y
USH	ush	np1_vv0_nn1
5	5	mc
,	,	y
WH	wh	np1
5	5	mc
<p>	<p>	y
--	--	x
Deciding	decide	vvg
how	how	rrq
to	to	to
vote	vote	vvi
in	in	ii_rp@
an	a	at1
election	election	nn1
or	or	cc
other	other	jj
balloting	balloting	nn1
--	--	x
ECON	econ	nn1_np1
3	3	mc
,	,	y
SOC	soc	np1_nn1
4	4	mc
,	,	y
USH	ush	np1_vv0_nn1
4	4	mc
<p>	<p>	y
--	--	x
Taking	take	vvg
full	full	jj
advantage	advantage	nn1
of	of	io
travel	travel	nn1
opportunities	opportunity	nn2
--	--	x
GEO	geo	nn1
1	1	mc1
,	,	y
GEO	geo	np1_nn1
2	2	mc
,	,	y
GEO	geo	np1_nn1
3	3	mc
,	,	y
SOC	soc	np1_nn1
1	1	mc1
,	,	y
USH	ush	vv0_np1_nn1
1	1	mc1
,	,	y
USH	ush	np1_vv0_nn1
3	3	mc
,	,	y
WH	wh	np1
1	1	mc1
<p>	<p>	y
--	--	x
Enjoying	enjoy	vvg
a	a	at1
movie	movie	nn1
that	that	cst_dd1
has	have	vhz
special	special	jj
appeal	appeal	nn1
--	--	x
GEO	geo	nn1_np1
4	4	mc
,	,	y
PSY	psy	np1_nn1_jj
6	6	mc
,	,	y
SOC	soc	np1_nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
one	one	mc1
's	's	ge_vbz
monetary	monetary	jj
resources	resource	nn2
wisely	wisely	rr
--	--	x
ECON	econ	nn1
1	1	mc1
,	,	y
ECON	econ	np1_nn1
2	2	mc
,	,	y
ECON	econ	np1_nn1
5	5	mc
,	,	y
ECON	econ	np1_nn1
7	7	mc
,	,	y
PSY	psy	np1_nn1_jj
7	7	mc
<p>	<p>	y
--	--	x
Staying	stay	vvg_nn1@
out	out	ii21
of	of	ii22
avoidable	avoidable	jj
financial	financial	jj
or	or	cc
legal	legal	jj
trouble	trouble	nn1
--	--	x
ECON	econ	nn1_np1
6	6	mc
,	,	y
GOV	gov	x         
1	1	mc1
,	,	y
PSY	psy	np1_nn1_jj
7	7	mc
,	,	y
SOC	soc	np1_nn1
5	5	mc
<p>	<p>	y
Note	note	vv0_nn1
.	.	y
The	the	at
abbreviations	abbreviation	nn2
in	in	ii
the	the	at
figure	figure	nn1
refer	refer	vv0
to	to	ii
the	the	at
sections	section	nn2
of	of	io
the	the	at
appendix	appendix	nn1
:	:	y
ECON	econ	nn1_np1
for	for	if
economics	economics	nn1
,	,	y
GEO	geo	nn1_np1
for	for	if
geography	geography	nn1
,	,	y
GOV	gov	x         
for	for	if
government	government	nn1
,	,	y
PSY	psy	nn1_np1_jj
for	for	if
psychology	psychology	nn1
,	,	y
SOC	soc	nn1_np1
for	for	if
sociology	sociology	nn1
,	,	y
USH	ush	vv0_nn1_np1
for	for	if
U.S.	us	np1
history	history	nn1
,	,	y
WH	wh	np1
for	for	if
world	world	nn1
history	history	nn1
.	.	y
The	the	at
numbers	number	nn2
refer	refer	vv0
to	to	ii
the	the	at
tasks	task	nn2
listed	list	vvn_vvd
in	in	ii
the	the	at
sections	section	nn2
of	of	io
the	the	at
appendix	appendix	nn1
.	.	y
<p>	<p>	y
##4002468		
Key	key	jj_nn1
words	word	nn2
:	:	y
economics	economics	nn1
and	and	cc
September	september	npm1
11	11	mc
,	,	y
2001	2001	mc
;	;	y
economics	economics	nn1
and	and	cc
terrorism	terrorism	nn1
;	;	y
economic	economic	jj
approach	approach	nn1
to	to	ii
modern	modern	jj
problems	problem	nn2
<p>	<p>	y
To	to	ii
many	many	da2
Western	western	jj
observers	observer	nn2
,	,	y
the	the	at
behavior	behavior	nn1
of	of	io
people	people	nn
in	in	ii
the	the	at
Middle	middle	jj
East	east	nd1
is	be	vbz
a	a	at1
mystery	mystery	nn1
.	.	y
The	the	at
area	area	nn1
is	be	vbz
the	the	at
scene	scene	nn1
of	of	io
brutality	brutality	nn1
and	and	cc
seemingly	seemingly	rr
senseless	senseless	jj
acts	act	nn2
of	of	io
violence	violence	nn1
.	.	y
Why	why	rrq
has	have	vhz
there	there	ex_rl
been	be	vbn
so	so	rg
much	much	da1
turmoil	turmoil	nn1
there	there	rl
for	for	if
so	so	rg
long	long	rr_jj
?	?	y
A	a	at1_zz1
brief	brief	jj
review	review	nn1
of	of	io
past	past	jj_nn1
events	event	nn2
helps	help	vvz
to	to	to
establish	establish	vvi
the	the	at
context	context	nn1
of	of	io
the	the	at
problem	problem	nn1
.	.	y
Partition	partition	nn1
of	of	io
Palestine	palestine	np1
<p>	<p>	y
The	the	at
United	united	jj
Nations	nation	nn2
voted	vote	vvn_vvd
in	in	ii
1947	1947	mc
to	to	to
partition	partition	vvi
Palestine	palestine	np1
,	,	y
the	the	at
British	british	jj
mandate	mandate	nn1
,	,	y
into	into	ii
two	two	mc
states	state	vvz_nn2
--	--	x
one	one	mc1
for	for	if
Jews	jew	nn2
and	and	cc
one	one	pn1_mc1
for	for	if
Palestinian	palestinian	jj_nn1
Arabs	arab	nn2
.	.	y
Through	through	ii
political	political	jj
pressure	pressure	nn1
,	,	y
the	the	at
Jewish	jewish	jj
state	state	nn1
assimilated	assimilate	vvd_vvn_jj
large	large	jj
tracts	tract	nn2
of	of	io
land	land	nn1
belonging	belong	vvg
to	to	ii
Palestinians	palestinian	nn2
and	and	cc
through	through	ii_jj%
intimidation	intimidation	nn1
forced	force	vvd_vvn
three	three	mc
hundred	hundred	m
thousand	thousand	m
Palestinian	palestinian	jj
Arabs	arab	nn2
to	to	to
leave	leave	vvi
their	their	appge
homes	home	nn2
and	and	cc
land	land	nn1
and	and	cc
to	to	to
become	become	vvi
refugees	refugee	nn2
.	.	y
<p>	<p>	y
In	in	ii
1948	1948	mc
,	,	y
when	when	rrq
the	the	at
British	british	jj
gave	give	vvd
up	up	rp
Palestine	palestine	np1
and	and	cc
the	the	at
United	united	jj
Nations	nation	nn2
divided	divide	vvd_vvn
Palestine	palestine	np1
,	,	y
Israel	israel	np1
became	become	vvd
an	a	at1
independent	independent	jj
state	state	nn1
.	.	y
Palestinian	palestinian	jj_nn1
refugees	refugee	nn2
mounted	mounted	jj_vvd_vvn
protests	protest	nn2
in	in	ii
an	a	at1
attempt	attempt	nn1
to	to	to
get	get	vvi
back	back	rp
their	their	appge
land	land	nn1
and	and	cc
homes	home	nn2
.	.	y
Through	through	ii
the	the	at
efforts	effort	nn2
of	of	io
provocations	provocation	nn2
on	on	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
used	use	vvd
its	its	z'
army	army	nn1
to	to	to
attack	attack	vvi
the	the	at
Palestinian	palestinian	jj_nn1
Arabs	arab	nn2
.	.	y
Facing	face	vvg_jj@
death	death	nn1
,	,	y
seven	seven	mc
hundred	hundred	m
thousand	thousand	m
more	more	dar
Palestinians	palestinian	nn2
fled	flee	vvd_vvn
their	their	appge
homes	home	nn2
and	and	cc
land	land	nn1_vv0@
in	in	ii
terror	terror	nn1
.	.	y
Israel	israel	np1
promptly	promptly	rr
announced	announce	vvn_vvd
that	that	cst
it	it	pph1
would	would	vm
annex	annex	vvi
the	the	at
newly	newly	rr
vacated	vacate	vvn_jj@_vvd
land	land	nn1
as	as	ii_csa
a	a	at1
part	part	nn1
of	of	io
the	the	at
new	new	jj
nation	nation	nn1
.	.	y
<p>	<p>	y
Angered	anger	vvn
by	by	ii
that	that	dd1
act	act	nn1
by	by	ii
Israel	israel	np1
,	,	y
the	the	at
neighboring	neighboring	jj@_nn1@
Arab	arab	jj_nn1
countries	country	nn2
attacked	attack	vvd_vvn
Israel	israel	np1
so	so	cs21
that	that	cs22
the	the	at
seven	seven	mc
hundred	hundred	m
thousand	thousand	m
Palestinian	palestinian	jj
refugees	refugee	nn2
could	could	vm
return	return	vvi
to	to	ii
their	their	appge
homes	home	nn2
and	and	cc
land	land	nn1
.	.	y
The	the	at
five	five	mc
attacking	attacking	jj@_vvg
countries	country	nn2
were	be	vbdr
also	also	rr
former	former	da
British	british	jj
colonies	colony	nn2
,	,	y
and	and	cc
therefore	therefore	rr
their	their	appge
newly	newly	rr
formed	form	vvn_vvd
armies	army	nn2
were	be	vbdr
ill	ill	z'
equipped	equip	vvn
and	and	cc
poorly	poorly	rr
trained	train	vvn
.	.	y
By	by	ii
contrast	contrast	nn1
,	,	y
the	the	at
United	united	np1
States	state	np1
was	be	vbdz
committed	commit	vvn
to	to	ii
the	the	at
defense	defense	nn1
of	of	io
Israel	israel	np1
and	and	cc
gave	give	vvd
Israel	israel	np1
the	the	at
military	military	jj
equipment	equipment	nn1
and	and	cc
financial	financial	jj
means	mean	nn
to	to	to
fight	fight	vvi
the	the	at
war	war	nn1
successfully	successfully	rr
.	.	y
The	the	at
Israeli	israeli	jj_nn1
forces	force	nn2
prevailed	prevail	vvn_vvd
in	in	ii
the	the	at
Arab-Israeli	arab-israeli	jj
War	war	nn1
of	of	io
1948	1948	mc
.	.	y
With	with	iw
the	the	at
military	military	jj
victory	victory	nn1
of	of	io
1948	1948	mc
,	,	y
Israel	israel	np1
had	have	vhd
the	the	at
political	political	jj
advantage	advantage	nn1
in	in	ii
negotiations	negotiation	nn2
over	over	ii
Palestine	palestine	np1
,	,	y
