##5995		
20:00-21:00		mcmc
the	the	at
screening	screening	nn1
she	she	pphs1
flew	fly	vvd
back	back	rp
to	to	ii
Ohio	ohio	np1
to	to	to
begin	begin	vvi
chemotherapy	chemotherapy	nn1
.	.	y
@!Ms-REICHERT		zzq
:	:	y
Even	even	cs21
though	though	cs22
I	i	ppis1
don	don	vv0
?	?	y
t	t	zz1
have	have	vh0
any	any	dd
hair	hair	nn1
now	now	rt
,	,	y
or	or	cc
any	any	dd
eyebrows	eyebrow	nn2
or	or	cc
eye	eye	nn1
lashes	lash	nn2_vvz
,	,	y
I	i	ppis1
think	think	vv0
I	i	ppis1
actually	actually	rr
look	look	vv0
healthier	healthy	jjr
now	now	rt
than	than	csn
I	i	ppis1
looked	look	vvd
to	to	ii
a	a	at1
lot	lot	nn1
of	of	io
people	people	nn
back	back	rp_nn1
then	then	rt
.	.	y
@!BARNETT		zzq
:	:	y
Reichert	reichert	np1_nn1
says	say	vvz
the	the	at
families	family	nn2
to	to	ii
whom	whom	pnqo
she	she	pphs1
had	have	vhd
devoted	devote	vvn
so	so	rg
much	much	da1
time	time	nnt1
in	in	ii
the	the	at
movie	movie	nn1
now	now	rt
turn	turn	vv0
their	their	appge
attention	attention	nn1
to	to	ii
her	her	ppho1
.	.	y
Marietha	marietha	np1@
Woods	woods	np1
stays	stay	vvz_nn2
in	in	ii
touch	touch	nn1
and	and	cc
she	she	pphs1
?	?	y
s	s	zz1
glad	glad	jj
more	more	dar
people	people	nn
will	will	vm
get	get	vvi
to	to	to
see	see	vvi
A	a	at1@
Lion	lion	nn1
in	in	ii
the	the	at
House	house	nn1
and	and	cc
understand	understand	vv0
that	that	cst
it	it	pph1
?	?	y
s	s	zz1
not	not	xx
just	just	rr
a	a	at1
film	film	nn1
about	about	ii
suffering	suffer	vvg_nn1_jj
and	and	cc
death	death	nn1
.	.	y
@!Ms-WOODS		zzq
:	:	y
And	and	cc
I	i	ppis1
just	just	rr
hope	hope	vv0
that	that	cst
this	this	dd1
movie	movie	nn1
comes	come	vvz
away	away	rl
with	with	iw
everybody	everybody	pn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
alone	alone	jj_rr
.	.	y
Because	because	cs
I	i	ppis1
never	never	rr
knew	know	vvd
kids	kid	nn2
got	get	vvd_vvn
sick	sick	jj
like	like	ii
that	that	dd1
.	.	y
I	i	ppis1
thought	think	vvd
cancer	cancer	nn1
was	be	vbdz
a	a	at1
grown	grow	vvn
people	people	nn
?	?	y
s	s	zz1
thing	thing	nn1
.	.	y
@!BARNETT		zzq
:	:	y
From	from	ii
NPR	npr	np1
News	news	nn1
,	,	y
I	i	ppis1
?	?	y
m	m	zz1
David	david	np1
C.	c	np1
Barnett	barnett	np1
in	in	ii
Cleveland	cleveland	np1
.	.	y
##6198		
O'REILLY	o'reilly	np1
:	:	y
Thanks	thanks	nn2
for	for	if
staying	stay	vvg
with	with	iw
us	us	ppio2
.	.	y
I	i	ppis1
'm	be	vbm
Bill	bill	np1
O'Reilly	o'reilly	np1
.	.	y
In	in	ii
the	the	at
"	"	y
Factor	factor	nn1
Follow-up	follow-up	nn1_jj
"	"	y
segment	segment	nn1
tonight	tonight	rt
,	,	y
all	all	db_rr@
throughout	throughout	ii
modern	modern	jj
history	history	nn1
,	,	y
movies	movie	nn2
have	have	vh0
been	be	vbn
used	use	vvn
to	to	to
make	make	vvi
political	political	jj
points	point	nn2
,	,	y
from	from	ii
Charlie	charlie	np1
Chaplin	chaplin	np1
to	to	ii
the	the	at
war	war	nn1
movies	movie	nn2
during	during	ii
World	world	nn1
War	war	nn1
II	ii	mc
to	to	ii
Nazi	nazi	jj
propaganda	propaganda	nn1
.	.	y
Films	film	nn2
can	can	vm
carry	carry	vvi
a	a	at1
very	very	rg
powerful	powerful	jj
message	message	nn1
.	.	y
This	this	dd1
year	year	nnt1
,	,	y
a	a	at1
trio	trio	nn1
of	of	io
gay-themed	gay-themed	zz
movies	movie	nn2
were	be	vbdr
honored	honor	vvn@
at	at	ii
the	the	at
Golden	golden	jj
Globes	globe	nn2
,	,	y
and	and	cc
the	the	at
media	media	nn
could	could	vm
not	not	xx
have	have	vhi
been	be	vbn
more	more	rgr_dar
kind	kind	jj@_nn1
to	to	ii
"	"	y
Brokeback	brokeback	np1
Mountain	mountain	nnl1
,	,	y
"	"	y
for	for	rex21
example	example	rex22
,	,	y
giving	give	vvg
the	the	at
flick	flick	nn1_vv0
an	a	at1
enormous	enormous	jj
amount	amount	nn1
of	of	io
free	free	jj
publicity	publicity	nn1
.	.	y
Now	now	rt
I	i	ppis1
believe	believe	vv0
the	the	at
film	film	nn1
was	be	vbdz
made	make	vvn
to	to	ii
mainstream	mainstream	jj
gay	gay	jj
life	life	nn1
.	.	y
Nothing	nothing	pn1
wrong	wrong	jj_rr@
with	with	iw
that	that	dd1
,	,	y
in	in	ii
my	my	appge
opinion	opinion	nn1
.	.	y
But	but	ccb
I	i	ppis1
think	think	vv0
the	the	at
film	film	nn1
's	's	ge
intent	intent	nn1
should	should	vm
be	be	vbi
up	up	rl21
front	front	rl22
.	.	y
I	i	ppis1
also	also	rr
believe	believe	vv0
that	that	cst
most	most	dat
Americans	american	nn2
are	be	vbr
n't	n't	xx
real	real	jj_rg%
interested	interested	jj
in	in	ii
seeing	see	vvg
stuff	stuff	nn1
like	like	ii
that	that	dd1
.	.	y
@!FOX-News-entertain#		zzq
@(BEGIN-VIDEOTAPE)		zzc
@!BILL-MCCUDDY-FOX-		zzq
:	:	y
Are	be	vbr
gay-themed	gay-themed	zz
movies	movie	nn2
out	out	ii41
of	of	ii42
touch	touch	ii43
with	with	ii44
middle	middle	jj_nn1
America	america	np1
?	?	y
@!DONALD-SUTHERLAND		zzq
,	,	y
:	:	y
What	what	ddq
?	?	y
@!MCCUDDY		zzq
:	:	y
Gay	gay	jj_np1
--		zz
gay-themed	gay-themed	zz
movies	movie	nn2
out	out	ii41
of	of	ii42
touch	touch	ii43
with	with	ii44
middle	middle	jj_nn1
America	america	np1
?	?	y
@!SUTHERLAND		zzq
:	:	y
What	what	ddq
do	do	vd0
you	you	ppy
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
do	do	vd0
you	you	ppy
think	think	vvi
?	?	y
@!MCCUDDY		zzq
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
they	they	pphs2
are	be	vbr
.	.	y
@!SUTHERLAND		zzq
:	:	y
You	you	ppy
must	must	vm
think	think	vvi
.	.	y
@!UNIDENTIFIED-FEMAL		zzq
:	:	y
Any	any	dd
time	time	nnt1
that	that	cst_dd1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
homosexuality	homosexuality	nn1
can	can	vm
be	be	vbi
embraced	embrace	vvn
in	in	ii
our	our	appge
day	day	nnt1
to	to	ii
day	day	nnt1
lives	life	nn2_vvz
,	,	y
I	i	ppis1
think	think	vv0
that	that	dd1
's	be	vbz
a	a	at1
good	good	jj
sign	sign	nn1
.	.	y
@!UNIDENTIFIED-MALE		zzq
:	:	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
Middle	middle	jj_nn1
America	america	np1
really	really	rr
cares	care	vvz
.	.	y
They	they	pphs2
'll	will	vm
either	either	rr
go	go	vvi
or	or	cc
they	they	pphs2
wo	will	vm
n't	n't	xx
,	,	y
and	and	cc
the	the	at
box	box	nn1
office	office	nn1
will	will	vm
kind	kind	rr21%
of	of	rr22
tell	tell	vvi
you	you	ppy
that	that	dd1
.	.	y
But	but	ccb
I	i	ppis1
think	think	vv0
with	with	iw
cable	cable	nn1
,	,	y
I	i	ppis1
think	think	vv0
with	with	iw
the	the	at
Internet	internet	nn1_np1
,	,	y
I	i	ppis1
think	think	vv0
with	with	iw
television	television	nn1
in	in	rr21
general	general	rr22
,	,	y
people	people	nn
in	in	ii
middle	middle	jj_nn1
America	america	np1
are	be	vbr
a	a	rr21@
lot	lot	rr22
more	more	rgr_dar
hip	hip	jj@_nn1
than	than	csn
people	people	nn
think	think	vv0
they	they	pphs2
are	be	vbr
.	.	y
@!MCCUDDY		zzq
:	:	y
Can	can	vm
I	i	ppis1
ask	ask	vvi
you	you	ppy
a	a	at1
question	question	nn1
?	?	y
The	the	at
truth	truth	nn1
is	be	vbz
you	you	ppy
wo	will	vm
n't	n't	xx
talk	talk	vvi
to	to	ii
me.	me	nnu
@!TIM-ROBBINS-ACTOR		zzq
:	:	y
Not	not	xx
you	you	ppy
.	.	y
Not	not	xx
you	you	ppy
.	.	y
@(END-VIDEOTAPE)		zzc
O'REILLY	o'reilly	np1_rr
:	:	y
All	all	rr21
right	right	rr22
.	.	y
He	he	pphs1
does	do	vdz
n't	n't	xx
want	want	vvi
to	to	to
talk	talk	vvi
to	to	ii
us	us	ppio2
.	.	y
With	with	iw
us	us	ppio2
now	now	rt
is	be	vbz
Bill	bill	np1
McCuddy	mccuddy	np1
and	and	cc
from	from	ii
Seattle	seattle	np1
,	,	y
film	film	nn1
critic	critic	nn1
and	and	cc
radio	radio	nn1
talk	talk	nn1_vv0
guy	guy	nn1
,	,	y
Michael	michael	np1
Medved	medved	vvd@_jj
.	.	y
Now	now	rt
Michael	michael	np1
,	,	y
the	the	at
"	"	y
Brokeback	brokeback	np1
Mountain	mountain	nnl1
"	"	y
deal	deal	nn1_vv0
,	,	y
it	it	pph1
's	be	vbz
made	make	vvn
$31	$31	nnu
million	million	m1
or	or	cc
something	something	pn1
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
movie	movie	nn1
.	.	y
And	and	cc
it	it	pph1
's	be	vbz
a	a	at1
fine	fine	jj
movie	movie	nn1
,	,	y
I	i	ppis1
guess	guess	vv0
.	.	y
I	i	ppis1
have	have	vh0
n't	n't	xx
seen	see	vvn
it	it	pph1
.	.	y
I	i	ppis1
'm	be	vbm
afraid	afraid	jj
of	of	io
gay	gay	jj
cowboys	cowboy	nn2
.	.	y
I	i	ppis1
'm	be	vbm
afraid	afraid	jj
of	of	io
all	all	db
cowboys	cowboy	nn2
.	.	y
I	i	ppis1
'm	be	vbm
from	from	ii
Long	long	jj
Island	island	nnl1
,	,	y
all	all	rr21
right	right	rr22
?	?	y
Cowboys	cowboy	nn2
frighten	frighten	vv0
me	me	ppio1
in	in	ii
every	every	at1
regard	regard	nn1
.	.	y
Ever	ever	rr
since	since	cs_ii@
Clinton	clinton	np1
Eastwood	eastwood	np1
shot	shoot	vvd
down	down	rp
everybody	everybody	pn1
,	,	y
I	i	ppis1
'm	be	vbm
-	-	-
-	-	-
it	it	pph1
's	be	vbz
too	too	rg
much	much	da1_rr
.	.	y
@!MICHAEL-MEDVED-FI		zzq
:	:	y
Right	right	rr_nn1_jj
.	.	y
You	you	ppy
're	be	vbr
not	not	xx
ready	ready	jj
for	for	if
the	the	at
tough	tough	jj
lights	light	nn2
(	(	y
ph	ph	nn1
)		np1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Believe	believe	vv0
me	me	ppio1
,	,	y
I	i	ppis1
'll	will	vm
never	never	rr
be	be	vbi
ready	ready	jj
.	.	y
But	but	ccb
I	i	ppis1
think	think	vv0
this	this	dd1
has	have	vhz
a	a	at1
good	good	jj
chance	chance	nn1
to	to	to
win	win	vvi
best	best	rrt_jjt
picture	picture	vv0@_nn1
of	of	io
the	the	at
year	year	nnt1
.	.	y
And	and	cc
I	i	ppis1
think	think	vv0
that	that	cst
if	if	cs
it	it	pph1
does	do	vdz
,	,	y
there	there	ex
will	will	vm
be	be	vbi
a	a	at1
large	large	jj
political	political	jj
component	component	nn1
to	to	ii
the	the	at
award	award	nn1
.	.	y
Am	be	vb0
I	i	ppis1
wrong	wrong	vv0%_rr@
?	?	y
@!MEDVED		zzq
:	:	y
No	no	uh
,	,	y
you	you	ppy
're	be	vbr
completely	completely	rr
correct	correct	jj_vv0@
.	.	y
And	and	cc
look	look	vv0_nn1
at	at	ii
the	the	at
way	way	nn1
they	they	pphs2
're	be	vbr
promoting	promote	vvg
this	this	dd1
.	.	y
They	they	pphs2
're	be	vbr
promoting	promote	vvg
this	this	dd1
and	and	cc
saying	say	vvg
love	love	nn1
is	be	vbz
a	a	at1
force	force	nn1
of	of	io
nature	nature	nn1
.	.	y
And	and	cc
see	see	vv0
,	,	y
this	this	dd1
is	be	vbz
a	a	at1
very	very	jj@_rg
,	,	y
very	very	rg
insidious	insidious	jj
kind	kind	nn1
of	of	io
message	message	nn1
,	,	y
and	and	cc
I	i	ppis1
'll	will	vm
tell	tell	vvi
you	you	ppy
why	why	rrq
.	.	y
Because	because	cs
if	if	cs
love	love	nn1
is	be	vbz
a	a	at1
force	force	nn1
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
movie	movie	nn1
,	,	y
that	that	dd1_cst
ends	end	vvz
up	up	rp
destroying	destroy	vvg
two	two	mc
marriages	marriage	nn2
,	,	y
because	because	cs
both	both	db2_rr
the	the	at
cowboys	cowboy	nn2
are	be	vbr
married	married	jj_vvn%
to	to	ii
women	woman	nn2
,	,	y
if	if	cs
love	love	nn1
is	be	vbz
a	a	at1
force	force	nn1
of	of	io
nature	nature	nn1
,	,	y
then	then	rt
that	that	cst_dd1
same	same	da
argument	argument	nn1
can	can	vm
be	be	vbi
used	use	vvn
to	to	to
justify	justify	vvi
any	any	dd
kind	kind	nn1
of	of	io
extramarital	extramarital	jj
love	love	nn1
.	.	y
And	and	cc
my	my	appge
problem	problem	nn1
with	with	iw
the	the	at
movie	movie	nn1
,	,	y
and	and	cc
I	i	ppis1
think	think	vv0
one	one	mc1
of	of	io
the	the	at
reasons	reason	nn2
that	that	cst
there	there	ex
is	be	vbz
a	a	at1
lot	lot	nn1
of	of	io
resistance	resistance	nn1
to	to	ii
this	this	dd1
,	,	y
is	be	vbz
not	not	xx
just	just	rr
that	that	cst
it	it	pph1
's	be	vbz
pro-homosexual	pro-homosexual	jj_nn1
.	.	y
It	it	pph1
clearly	clearly	rr
is	be	vbz
.	.	y
But	but	ccb
it	it	pph1
's	be	vbz
also	also	rr
anti-marriage	anti-marriage	jj_nn1
.	.	y
It	it	pph1
suggests	suggest	vvz
that	that	cst
you	you	ppy
've	have	vh0
got	get	vvn
to	to	to
follow	follow	vvi
your	your	appge
heart	heart	nn1
and	and	cc
you	you	ppy
can	can	vm
forget	forget	vvi
about	about	ii
those	those	dd2
obligations	obligation	nn2
and	and	cc
promises	promise	vvz
you	you	ppy
made	make	vvd_vvn
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK	ok	rr
.	.	y
But	but	ccb
look	look	vv0_nn1
,	,	y
Michael	michael	np1
,	,	y
the	the	at
guy	guy	nn1
who	who	pnqs
made	make	vvd
the	the	at
movie	movie	nn1
,	,	y
Ang	ang	np1
Lee	lee	np1
,	,	y
he	he	pphs1
's	be	vbz
a	a	at1
brilliant	brilliant	jj
director	director	nn1
.	.	y
He	he	pphs1
has	have	vhz
a	a	at1
right	right	nn1
to	to	to
make	make	vvi
any	any	dd
movie	movie	nn1
he	he	pphs1
wants	want	vvz
to	to	to
make	make	vvi
.	.	y
@!MEDVED		zzq
:	:	y
Absolutely	absolutely	rr
.	.	y
O'REILLY	o'reilly	np1
:	:	y
I	i	ppis1
mean	mean	vv0
,	,	y
look	look	vv0_nn1
,	,	y
if	if	cs
he	he	pphs1
wants	want	vvz
to	to	to
think	think	vvi
that	that	cst
this	this	dd1
is	be	vbz
great	great	jj
and	and	cc
all	all	db
that	that	dd1_cst
,	,	y
this	this	dd1
guy	guy	nn1
can	can	vm
do	do	vdi
this	this	dd1
all	all	db
day	day	nnt1
long	long	rr_jj
.	.	y
It	it	pph1
's	be	vbz
America	america	np1
.	.	y
But	but	ccb
I	i	ppis1
think	think	vv0
it	it	pph1
's	be	vhz
got	get	vvn
to	to	to
be	be	vbi
labeled	label	vvn@
as	as	csa_ii@_rg@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
is	be	vbz
what	what	ddq
's	be	vbz
in	in	ii
play	play	nn1
here	here	rl
,	,	y
as	as	csa
you	you	ppy
just	just	rr
did	do	vdd
.	.	y
That	that	dd1
has	have	vhz
n't	n't	xx
happened	happen	vvn
.	.	y
@!MEDVED		zzq
:	:	y
No	no	uh
,	,	y
it	it	pph1
has	have	vhz
n't	n't	xx
at	at	rr21
all	all	rr22
.	.	y
And	and	cc
one	one	mc1
of	of	io
the	the	at
things	thing	nn2
that	that	cst_dd1
was	be	vbdz
disturbing	disturb	vvg@_jj
to	to	ii
me	me	ppio1
about	about	ii
the	the	at
Golden	golden	jj
Globe	globe	nn1
awards	award	nn2
,	,	y
is	be	vbz
it	it	pph1
was	be	vbdz
n't	n't	xx
just	just	rr
this	this	dd1
one	one	mc1
movie	movie	nn1
.	.	y
It	it	pph1
was	be	vbdz
winner	winner	nn1
for	for	if
best	best	jjt
actor	actor	nn1
,	,	y
which	which	ddq
was	be	vbdz
Philip	philip	np1
Seymour	seymour	np1
Hoffman	hoffman	np1
for	for	if
"	"	y
Capote	capote	nn1_np1
.	.	y
"	"	y
It	it	pph1
was	be	vbdz
the	the	at
winner	winner	nn1
for	for	if
best	best	jjt
actress	actress	nn1
,	,	y
Felicity	felicity	np1
Huffman	huffman	np1
,	,	y
playing	play	vvg
a	a	at1
guys	guy	nn2
who	who	pnqs
's	be	vbz
going	go	vvgk
to	to	to
have	have	vhi
a	a	at1
sex	sex	nn1
change	change	nn1_vv0
operation	operation	nn1
in	in	ii
"	"	y
Transamerica	transamerica	np1
.	.	y
"	"	y
And	and	cc
you	you	ppy
see	see	vv0
,	,	y
some	some	dd
of	of	io
the	the	at
other	other	jj
big	big	jj
movies	movie	nn2
that	that	cst
won	win	vvd
were	be	vbdr
movies	movie	nn2
like	like	ii
"	"	y
Syriana	syriana	np1
.	.	y
"	"	y
Most	most	dat
people	people	nn
do	do	vd0
n't	n't	xx
know	know	vvi
that	that	cst_dd1
"	"	y
Syriana	syriana	np1_nn1@
,	,	y
"	"	y
which	which	ddq
is	be	vbz
very	very	rg
anti-	anti-	jj
American	american	jj
--		zz
anti-American	anti-american	jj
imperialism	imperialism	nn1
movie	movie	nn1
,	,	y
that	that	dd1_cst
glorifies	glorify	vvz
suicide	suicide	nn1
bombing	bombing	nn1_vvg
.	.	y
It	it	pph1
was	be	vbdz
made	make	vvn
by	by	ii
money	money	nn1
from	from	ii
a	a	at1
group	group	nn1
called	call	vvn_vvd@
Participant	participant	nn1
Pictures	picture	nn2
,	,	y
which	which	ddq
is	be	vbz
a	a	at1
specifically	specifically	rr
political	political	jj
group	group	nn1
that	that	cst_dd1
is	be	vbz
trying	try	vvg
to	to	to
send	send	vvi
messages	message	nn2
in	in	ii
movies	movie	nn2
.	.	y
They	they	pphs2
put	put	vv0_vvd
money	money	nn1
into	into	ii
"	"	y
Syriana	syriana	np1
.	.	y
"	"	y
They	they	pphs2
put	put	vv0_vvd
money	money	nn1
into	into	ii
...	...	...
O'REILLY	o'reilly	np1
:	:	y
Are	be	vbr
you	you	ppy
telling	tell	vvg
me	me	ppio1
George	george	np1
Clooney	clooney	np1
has	have	vhz
something	something	pn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
look	look	vvi
bad	bad	jj
?	?	y
Are	be	vbr
you	you	ppy
telling	tell	vvg
me	me	ppio1
that	that	dd1_cst
,	,	y
Michael	michael	np1
?	?	y
I	i	ppis1
'm	be	vbm
outraged	outraged	jj
.	.	y
@!MEDVED		zzq
:	:	y
Is	be	vbz
n't	n't	xx
that	that	rg
unbelievable	unbelievable	jj
?	?	y
O'REILLY	o'reilly	np1
:	:	y
It	it	nn1@_pph1
is.	is	nnu
@!MEDVED		zzq
:	:	y
But	but	ccb
the	the	at
same	same	da
group	group	nn1
funded	fund	vvn_jj
"	"	y
North	north	nd1
Country	country	nn1
"	"	y
with	with	iw
Charlize	charlize	np1
Theron	theron	np1_nn1
.	.	y
Very	very	rg
political	political	jj
movie	movie	nn1
.	.	y
It	it	pph1
funded	fund	vvd
also	also	rr
"	"	y
Good	good	jj
Night	night	nnt1
and	and	cc
Good	good	jj
Luck	luck	nn1
,	,	y
"	"	y
again	again	rt
with	with	iw
George	george	np1
Clooney	clooney	np1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
George	george	np1
Clooney.	clooney	np1
@!MCCUDDY		zzq
:	:	y
But	but	ccb
Bill	bill	np1_nn1
,	,	y
Michael	michael	np1
,	,	y
all	all	db
movies	movie	nn2
are	be	vbr
about	about	ii
something	something	pn1
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
the	the	at
good	good	jj
ones	one	z'
are	be	vbr
,	,	y
unless	unless	cs
they	they	pphs2
have	have	vh0
Pauly	pauly	rr_np1
Shore	shore	np1_vv0%_nn1@
in	in	ii
them	them	ppho2
.	.	y
And	and	cc
they	they	pphs2
have	have	vh0
to	to	to
have	have	vhi
some	some	dd
kind	kind	nn1
of	of	io
redeeming	redeem	vvg
social	social	jj
message	message	nn1
.	.	y
And	and	cc
...	...	...
O'REILLY	o'reilly	np1
:	:	y
Why	why	rrq
do	do	vd0
they	they	pphs2
have	have	vhi
to	to	to
have	have	vhi
some	some	dd
kind	kind	nn1
of	of	io
redeeming	redeem	vvg
social	social	jj
message	message	nn1
?	?	y
@!MCCUDDY		zzq
:	:	y
Well	well	rr
,	,	y
it	it	pph1
would	would	vm
be	be	vbi
nice	nice	jj_rr@
if	if	cs_csw@
they	they	pphs2
...	...	...
@(CROSSTALK)		zzc
@!MEDVED		zzq
:	:	y
It	it	pph1
would	would	vm
be	be	vbi
nice	nice	jj_rr@
if	if	cs_csw@
they	they	pphs2
entertain	entertain	vv0
people	people	nn
.	.	y
@!MCCUDDY		zzq
:	:	y
Of	of	rr21
course	course	rr22
.	.	y
They	they	pphs2
have	have	vh0
to	to	to
entertain	entertain	vvi
.	.	y
If	if	cs
they	they	pphs2
're	be	vbr
not	not	xx
entertaining	entertaining	jj_vvg@
...	...	...
O'REILLY	o'reilly	np1
:	:	y
But	but	ccb
look	look	vv0_nn1
,	,	y
look	look	vv0_nn1
.	.	y
This	this	dd1
is	be	vbz
a	a	at1
free	free	jj
society	society	nn1
.	.	y
This	this	dd1
is	be	vbz
a	a	at1
free	free	jj
society	society	nn1
and	and	cc
you	you	ppy
go	go	vv0
and	and	cc
you	you	ppy
see	see	vv0
what	what	ddq
you	you	ppy
want	want	vv0
to	to	to
see	see	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
But	but	ccb
should	should	vm
n't	n't	xx
all	all	db
of	of	io
these	these	dd2
movies	movie	nn2
--		nn1_jj
if	if	cs
Michael	michael	np1
just	just	rr
said	say	vvd_vvn@
--		nn1_jj
he	he	pphs1
just	just	rr
told	tell	vvd_vvn
us	us	ppio2
something	something	pn1
we	we	ppis2
did	do	vdd
n't	n't	xx
know	know	vvi
.	.	y
@!MCCUDDY		zzq
:	:	y
Right	right	rr_nn1_jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
That	that	cst
there	there	ex
's	be	vbz
this	this	dd1
group	group	nn1
that	that	cst_dd1
's	be	vbz
funding	fund	vvg@
anti-American	anti-american	jj
stuff	stuff	nn1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
"	"	y
Good	good	jj
Night	night	nnt1
and	and	cc
Good	good	jj
Luck	luck	nn1
"	"	y
is	be	vbz
anti-American.	anti-american	jj
@!MCCUDDY		zzq
:	:	y
They	they	pphs2
're	be	vbr
not	not	xx
going	go	vvgk
to	to	to
put	put	vvi
that	that	dd1
in	in	ii
the	the	at
poster	poster	nn1
.	.	y
They	they	pphs2
're	be	vbr
not	not	xx
going	go	vvgk
to	to	to
say	say	vvi
...	...	...
O'REILLY	o'reilly	np1
:	:	y
But	but	ccb
should	should	vm
n't	n't	xx
the	the	at
--		nn1
should	should	vm
n't	n't	xx
the	the	at
media	media	nn
be	be	vbi
saying	say	vvg
this	this	dd1
is	be	vbz
why	why	rrq
the	the	at
movie	movie	nn1
is	be	vbz
out	out	rp
there	there	rl
.	.	y
That	that	dd1
's	be	vbz
all	all	db
I	i	ppis1
want	want	vv0
.	.	y
@!MCCUDDY		zzq
:	:	y
Well	well	rr
,	,	y
if	if	cs
you	you	ppy
want	want	vv0
the	the	at
media	media	nn
to	to	to
cover	cover	vvi
things	thing	nn2
differently	differently	rr
,	,	y
that	that	dd1
's	be	vbz
fine	fine	jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Yes	yes	uh
.	.	y
How	how	rrq_rgq@
about	about	ii
with	with	iw
some	some	dd
honesty	honesty	nn1
?	?	y
Remember	remember	vv0
that	that	dd1
?	?	y
@!MCCUDDY		zzq
:	:	y
Well	well	rr
,	,	y
and	and	cc
also	also	rr
do	do	vd0
n't	n't	xx
forget	forget	vvi
that	that	dd1_cst
film	film	nn1
makers	maker	nn2
do	do	vd0
n't	n't	xx
decide	decide	vvi
exactly	exactly	rr
how	how	rrq
their	their	appge
movie	movie	nn1
is	be	vbz
going	go	vvgk
to	to	to
be	be	vbi
marketed	market	vvn
.	.	y
That	that	dd1
's	be	vbz
something	something	pn1
the	the	at
studio	studio	nn1
does	do	vdz
,	,	y
and	and	cc
the	the	at
studio	studio	nn1
goes	go	vvz
after	after	ii_cs
certain	certain	jj
kinds	kind	nn2
of	of	io
press	press	nn1
and	and	cc
pursues	pursue	vvz
things	thing	nn2
differently	differently	rr
.	.	y
They	they	pphs2
're	be	vbr
on	on	ii
damage	damage	nn1
control	control	vv0_nn1
over	over	rp
on	on	ii
"	"	y
Brokeback	brokeback	np1
Mountain	mountain	nnl1
"	"	y
now	now	rt
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
way	way	nn1
.	.	y
I	i	ppis1
mean	mean	vv0
,	,	y
they	they	pphs2
're	be	vbr
taking	take	vvg
some	some	dd
critical	critical	jj
acclaim	acclaim	nn1
that	that	cst
it	it	pph1
's	be	vbz
gotten	get	vvn
in	in	ii
the	the	at
middle	middle	nn1
of	of	io
the	the	at
country	country	nn1
and	and	cc
putting	put	vvg
those	those	dd2
in	in	ii
the	the	at
ads	ad	nn2
.	.	y
They	they	pphs2
've	have	vh0
added	add	vvn
the	the	at
women	woman	nn2
that	that	cst
Michael	michael	np1
