##2000850		
OPPOSITE	opposite	jj_nn1@_rl@
,	,	y
a	a	at1
past	past	jj_nn1
president	president	nn1
of	of	io
the	the	at
International	international	jj
Association	association	nn1
for	for	if
Bear	bear	nn1
Research	research	nn1
and	and	cc
Management	management	nn1
.	.	y
State	state	vv0_nn1
agencies	agency	nn2
are	be	vbr
currently	currently	rr
spending	spend	vvg
more	more	dar
time	time	nnt1
dealing	deal	vvg
with	with	iw
nuisance	nuisance	nn1
bears	bear	nn2
than	than	csn
worrying	worrying	jj_vvg@
about	about	ii
their	their	appge
numbers	number	nn2
.	.	y
Pelton	pelton	nn1_np1@
says	say	vvz
the	the	at
increases	increase	nn2
came	come	vvd
about	about	rp@
because	because	ii21
of	of	ii22
management	management	nn1
changes	change	nn2
and	and	cc
more	more	rrr_dar
compliance-with	compliance-with	iw
deep	deep	jj
inroads	inroads	nn2
having	have	vhg
been	be	vbn
made	make	vvn
in	in	ii
curtailing	curtail	vvg
poaching	poaching	jj@_vvg_nn1@
problems	problem	nn2
.	.	y
While	while	cs
coastal	coastal	jj
Alaska	alaska	np1
and	and	cc
British	british	np1
Columbia	columbia	np1
produce	produce	vv0
some	some	dd
big	big	jj
bears	bear	nn2
,	,	y
most	most	dat
of	of	io
the	the	at
true	true	jj
bruisers	bruiser	nn2
still	still	rr
come	come	vv0_vvn@
from	from	ii
Pennsylvania	pennsylvania	np1
and	and	cc
North	north	nd1
Carolina	carolina	np1
,	,	y
areas	area	nn2
where	where	cs_rrq
there	there	ex
are	be	vbr
unlimited	unlimited	jj
sources	source	nn2
of	of	io
high	high	jj
protein	protein	nn1
in	in	ii
agricultural	agricultural	jj
crops	crop	nn2
and	and	cc
human	human	jj_nn1
garbage	garbage	nn1
.	.	y
Southern	southern	jj
California	california	np1
also	also	rr
produces	produce	vvz
some	some	dd
huge	huge	jj
bears	bear	nn2
,	,	y
partially	partially	rr
because	because	cs
its	its	z'
bruins	bruin	nn2
have	have	vh0
very	very	rg
short	short	jj
hibernation	hibernation	nn1
cycles	cycle	nn2
(	(	y
more	more	rrr
like	like	ii
a	a	at1
nap	nap	nn1
)	)	y
and	and	cc
feed	feed	vv0_nn1
nearly	nearly	rr
all	all	db
year	year	nnt1
.	.	y
All	all	db
three	three	mc
states	state	nn2_vvz
post	post	ii@_nn1
bears	bear	nn2_vvz@
over	over	rg
700	700	mc
pounds	pound	nn2
annually	annually	rr
.	.	y
MULE	mule	nn1
DEER	deer	nn
Photograph	photograph	nn1_vv0@
Looking	look	vvg
for	for	if
a	a	at1
huge	huge	jj
black	black	jj
bear	bear	nn1
?	?	y
Check	check	vv0
out	out	rp
Pennsylvania	pennsylvania	np1
and	and	cc
North	north	nd1
Carolina	carolina	np1
.	.	y
//	//	x
A	a	zz1_at1@
Quick	quick	jj
Look	look	nn1
at	at	ii
Deer	deer	nn
Across	across	ii
the	the	at
Nation	nation	nn1
//	//	x
While	while	cs
whitetail	whitetail	nn1_vv0
numbers	number	nn2
continue	continue	vv0
to	to	ii
burgeon	burgeon	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
30	30	mc
years	year	nnt2
,	,	y
muleys	muley	nn2
have	have	vh0
been	be	vbn
in	in	ii
decline	decline	nn1
;	;	y
consequently	consequently	rr
,	,	y
hunting	hunting	nn1_vvg@
opportunities	opportunity	nn2
art	art	nn1
dwindling	dwindling	jj_vvg@
.	.	y
Arizona	arizona	np1
will	will	vm
issue	issue	vvi
a	a	at1
recordlow	recordlow	nn1
number	number	nn1
of	of	io
tags	tag	nn2
in	in	ii
1998	1998	mc
,	,	y
and	and	cc
this	this	dd1
is	be	vbz
the	the	at
last	last	md
year	year	nnt1
Colorado	colorado	np1
will	will	vm
sell	sell	vvi
overthe-counter	overthe-counter	nn1_jj@
mule	mule	nn1
deer	deer	nn
licenses	license	nn2_vvz
,	,	y
going	go	vvg
to	to	ii
a	a	at1
drawing	drawing	nn1
for	for	if
all	all	db
tags	tag	nn2_vvz
in	in	ii
1999	1999	mc
.	.	y
Wyoming	wyoming	np1
herds	herd	nn2
are	be	vbr
two-thirds	two-thirds	mf
the	the	at
size	size	nn1
they	they	pphs2
were	be	vbdr
in	in	ii
the	the	at
early	early	jj
1990s	1990s	mc2
,	,	y
which	which	ddq
has	have	vhz
led	lead	vvn
to	to	ii
dramatic	dramatic	jj
reductions	reduction	nn2
in	in	ii
quotas	quota	nn2
.	.	y
These	these	dd2
stories	story	nn2
are	be	vbr
repeated	repeat	vvn
in	in	ii
all	all	db
mule	mule	nn1
deer	deer	nn
states	state	nn2_vvz
.	.	y
There	there	ex
is	be	vbz
some	some	dd
hope	hope	nn1
.	.	y
Game	game	nn1
managers	manager	nn2
in	in	ii_rp@
virtually	virtually	rr
all	all	db
of	of	io
the	the	at
western	western	jj
states	state	nn2
with	with	iw
mule	mule	nn1
deer	deer	nn
expect	expect	vv0
a	a	at1
slight	slight	jj
rise	rise	nn1
in	in	ii
populations	population	nn2
as	as	csa
there	there	ex
was	be	vbdz
a	a	at1
climatic	climatic	jj
respite	respite	nn1
from	from	ii
drought	drought	nn1
and	and	cc
severe	severe	jj
winters	winter	nnt2
.	.	y
This	this	dd1
is	be	vbz
expected	expect	vvn_jj
to	to	to
hold	hold	vvi
especially	especially	rr
true	true	jj
in	in	ii
the	the	at
Southwest	southwest	nd1
.	.	y
Trophy	trophy	nn1
hunters	hunter	nn2
notice	notice	vv0
an	a	at1
increase	increase	nn1
in	in	ii
antler	antler	nn1
size	size	nn1
following	following	nn1@_vvg_ii@
winters	winter	vvz@_nnt2
that	that	cst
are	be	vbr
mild	mild	jj
(	(	y
resulting	result	vvg_jj
in	in	ii
higher	high	jjr
survival	survival	nn1
rates	rate	nn2
)	)	y
and	and	cc
wet	wet	jj
(	(	y
resulting	result	vvg_jj
in	in	ii
good	good	jj
forage	forage	nn1
)	)	y
.	.	y
If	if	cs
you	you	ppy
were	be	vbdr
lucky	lucky	jj
enough	enough	rr
to	to	to
draw	draw	vvi
a	a	at1
tag	tag	nn1
this	this	dd1
year	year	nnt1
for	for	if
Arizona	arizona	np1
's	's	ge
Kaibab	kaibab	np1_nn1@
or	or	cc
Utah	utah	np1
's	's	ge
Paunsagunt	paunsagunt	nn1_np1
Plateau	plateau	nn1
,	,	y
happy	happy	jj
hunting	hunting	nn1
:	:	y
You	you	ppy
'll	will	vm
see	see	vvi
antlers	antler	nn2
that	that	cst
beat	beat	vv0_vvd
the	the	at
average	average	nn1
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
trophy	trophy	nn1
spots	spot	vvz@_nn2
this	this	dd1
fall	fall	nn1
will	will	vm
be	be	vbi
eastern	eastern	jj
Oregon	oregon	np1
,	,	y
southwestern	southwestern	jj
Idaho	idaho	np1
and	and	cc
the	the	at
swath	swath	nn1
extending	extend	vvg
from	from	ii
the	the	at
extreme	extreme	jj
southeastern	southeastern	jj
corner	corner	nn1
of	of	io
Idaho	idaho	np1
into	into	ii
the	the	at
Gray	gray	np1
's	's	ge
River	river	nn1
country	country	nn1
of	of	io
Wyoming	wyoming	np1
.	.	y
Climate	climate	nn1
concerns	concern	vvz_nn2
aside	aside	rl
,	,	y
loss	loss	nn1
of	of	io
habitat	habitat	nn1
is	be	vbz
greatly	greatly	rr
to	to	to
blame	blame	vvi
for	for	if
the	the	at
sad	sad	jj
state	state	nn1
of	of	io
the	the	at
mule	mule	nn1
deer	deer	nn
.	.	y
And	and	cc
here	here	rl
the	the	at
prognosis	prognosis	nn1
is	be	vbz
not	not	xx
good	good	jj
for	for	if
the	the	at
bigeared	bigeared	jj@
Westerner	westerner	nn1
.	.	y
Substantial	substantial	jj
changes	change	nn2
,	,	y
including	including	ii_vvg@
fire	fire	nn1
suppression	suppression	nn1
,	,	y
timber	timber	nn1
management	management	nn1
and	and	cc
cattle	cattle	nn2
grazing	graze	vvg_nn1_jj
,	,	y
are	be	vbr
required	require	vvn
on	on	ii
a	a	at1
number	number	nn1
of	of	io
fronts	front	nn2
if	if	cs
muleys	muley	nn2
are	be	vbr
to	to	to
regain	regain	vvi
their	their	appge
glory	glory	nn1
days	day	nnt2
.	.	y
A	a	at1
barometer	barometer	nn1
for	for	if
the	the	at
species	species	nn
is	be	vbz
found	find	vvn
in	in	ii
Colorado	colorado	np1
's	's	ge
harvest	harvest	nn1
figures	figure	nn2
.	.	y
In	in	ii
the	the	at
early	early	jj
1960s	1960s	mc2
,	,	y
Colorado	colorado	np1
killed	kill	vvd
more	more	dar
than	than	csn
140,000	140,000	mc
mule	mule	nn1
deer	deer	nn
a	a	at1
year	year	nnt1
,	,	y
with	with	iw
the	the	at
success	success	nn1
rate	rate	nn1
measured	measure	vvd_vvn
conservatively	conservatively	rr
in	in	ii
the	the	at
range	range	nn1
of	of	io
63	63	mc
to	to	ii
74	74	mc
percent	percent	nnu
.	.	y
Last	last	md
year	year	nnt1
,	,	y
Colorado	colorado	np1
took	take	vvd
only	only	rr
45,000	45,000	mc
muleys	muley	nn2
,	,	y
and	and	cc
the	the	at
hunter	hunter	nn1
success	success	nn1
rate	rate	nn1
had	have	vhd
dropped	drop	vvn
to	to	ii
28	28	mc
percent	percent	nnu
,	,	y
the	the	at
worst	bad	jjt
ever	ever	rr
.	.	y
BLACKTAIL	blacktail	vv0_np1
DEER	deer	nn
As	as	csa
with	with	iw
mule	mule	nn1
deer	deer	nn
,	,	y
blacktails	blacktail	nn2
have	have	vh0
been	be	vbn
in	in	ii
somewhat	somewhat	dd1
of	of	io
a	a	at1
slide	slide	nn1
since	since	cs_ii@
the	the	at
1960s	1960s	mc2
.	.	y
But	but	ccb
the	the	at
drop	drop	nn1
has	have	vhz
been	be	vbn
much	much	da1_rr
less	less	dar_rgr_rrr
pronounced	pronounced	jj_vvn
,	,	y
and	and	cc
throughout	throughout	ii
their	their	appge
range-from	range-from	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
recent	recent	jj
years	year	nnt2
.	.	y
Once	once	cs@_rr
the	the	at
neglected	neglected	jj
deer	deer	nn
,	,	y
blacktails	blacktail	nn2
have	have	vh0
become	become	vvn@
increasingly	increasingly	rr
popular	popular	jj
,	,	y
especially	especially	rr
among	among	ii
hunters	hunter	nn2
looking	look	vvg
to	to	to
complete	complete	vvi
a	a	at1
trifecta	trifecta	nn1
of	of	io
North	north	np1
American	american	jj
deer	deer	nn
species	species	nn
.	.	y
If	if	cs
you	you	ppy
're	be	vbr
one	one	mc1
of	of	io
those	those	dd2
hunters	hunter	nn2
,	,	y
Boyd	boyd	np1
Iverson	iverson	np1
,	,	y
author	author	nn1
of	of	io
Blacktail	blacktail	np1_nn1
Trophy	trophy	nn1
Tactics	tactic	nn2
,	,	y
will	will	vm
tell	tell	vvi
you	you	ppy
that	that	cst
the	the	at
best	best	jjt
opportunity	opportunity	nn1
for	for	if
a	a	at1
big	big	jj
blacktail	blacktail	nn1
is	be	vbz
in	in	ii
Jackson	jackson	np1
and	and	cc
Douglas	douglas	np1
counties	county	nn2
of	of	io
south-central	south-central	jj
Oregon	oregon	np1
during	during	ii
one	one	mc1
of	of	io
the	the	at
special-drawing	special-drawing	jj_nn1
late-season	late-season	jj_nnt1
muzzleloader	muzzleloader	nn1
hunts	hunt	nn2_vvz
.	.	y
But	but	ccb
that	that	dd1
's	be	vbz
not	not	xx
your	your	appge
only	only	jj
option	option	nn1
.	.	y
Good	good	jj
bucks	buck	nn2
are	be	vbr
also	also	rr
taken	take	vvn
each	each	dd1
year	year	nnt1
from	from	ii
a	a	at1
handful	handful	nn1
of	of	io
specially	specially	rr
managed	manage	vvn_vvd
private	private	jj
ranches	ranch	nn2
in	in	ii
northwestern	northwestern	jj
California	california	np1
,	,	y
which	which	ddq
are	be	vbr
part	part	nn1
of	of	io
the	the	at
state	state	nn1
's	's	ge
Ranching	ranching	nn1
for	for	if
Wildlife	wildlife	nn1
program	program	nn1
.	.	y
The	the	at
number-one	number-one	mc
buck	buck	nn
in	in	ii
the	the	at
B	b	np1@_zz1
&C;	&c;	x
record	record	nn1
book	book	nn1
is	be	vbz
from	from	ii
Lewis	lewis	np1
County	county	nn1
in	in	ii
Washington	washington	np1
.	.	y
CARIBOU	caribou	nn
As	as	csa
they	they	pphs2
have	have	vh0
for	for	if
centuries	century	nnt2
,	,	y
the	the	at
huge	huge	jj
herds	herd	nn2
of	of	io
barren-ground	barren-ground	jj_nn1
caribou	caribou	nn
and	and	cc
Quebec-Labrador	quebec-labrador	np1
caribou	caribou	nn
continue	continue	vv0
to	to	to
roam	roam	vvi
across	across	ii
Canada	canada	np1
.	.	y
Still	still	rr
,	,	y
even	even	rr
with	with	iw
their	their	appge
massive	massive	jj
populations	population	nn2
,	,	y
a	a	at1
successful	successful	jj
hunt	hunt	nn1
depends	depend	vvz
on	on	ii
timing	timing	nn1
.	.	y
The	the	at
migrations	migration	nn2
have	have	vh0
been	be	vbn
unpredictable	unpredictable	jj
in	in	ii
recent	recent	jj
years	year	nnt2
.	.	y
In	in	ii
Quebec	quebec	np1
last	last	md
year	year	nnt1
the	the	at
herds	herd	nn2
did	do	vdd
not	not	xx
travel	travel	vvi
their	their	appge
usual	usual	jj
routes	route	nn2
or	or	cc
move	move	vv0_nn1
at	at	ii
traditional	traditional	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
great	great	jj
migratory	migratory	jj
herds	herd	nn2
are	be	vbr
stable	stable	jj
or	or	cc
growing	growing	jj_vvg
,	,	y
the	the	at
mountain	mountain	nn1
and	and	cc
woodland	woodland	nn1
caribou	caribou	nn
,	,	y
and	and	cc
the	the	at
small	small	jj
Perry	perry	nn1@_np1
caribou	caribou	nn
of	of	io
the	the	at
High	high	jj
Arctic	arctic	jj
,	,	y
are	be	vbr
facing	face	vvg
declines	decline	vvz
of	of	io
varying	varying	jj_vvg
proportions	proportion	nn2
.	.	y
For	for	if
the	the	at
mountain	mountain	nn1
and	and	cc
woodland	woodland	nn1
caribou	caribou	nn
there	there	ex_rl
are	be	vbr
definite	definite	jj
concerns	concern	nn2
,	,	y
as	as	csa
man	man	nn1
continues	continue	vvz
to	to	to
break	break	vvi
up	up	rp
their	their	appge
habitat	habitat	nn1
one	one	mc1
parcel	parcel	nn1
at	at	ii
a	a	at1
time	time	nnt1
.	.	y
But	but	ccb
some	some	dd
biologists	biologist	nn2
fear	fear	vv0
the	the	at
Perry	perry	np1_nn1@
caribou	caribou	nn
is	be	vbz
actually	actually	rr
facing	face	vvg_jj@
extinction	extinction	nn1
,	,	y
possibly	possibly	rr
due	due	ii21
to	to	ii22
climatic	climatic	jj
change	change	nn1
.	.	y
Anne	anne	np1
Gunn	gunn	np1
of	of	io
the	the	at
Northwest	northwest	np1
Territories	territory	nn2
Department	department	nn1
of	of	io
Resources	resource	nn2
,	,	y
Wildlife	wildlife	nn1
and	and	cc
Economic	economic	jj
Development	development	nn1
says	say	vvz
the	the	at
Perry	perry	np1_nn1@
caribou	caribou	nn
of	of	io
the	the	at
western	western	jj
High	high	jj
Arctic	arctic	jj
has	have	vhz
plummeted	plummet	vvn
from	from	ii
a	a	at1
population	population	nn1
of	of	io
24,000	24,000	mc
in	in	ii
1961	1961	mc
to	to	ii
less	less	dar
than	than	csn
1,100	1,100	mc
animals	animal	nn2
;	;	y
the	the	at
Bathhurst	bathhurst	np1
Island	island	nnl1
herd	herd	nn1
has	have	vhz
dropped	drop	vvn
from	from	ii
3,000	3,000	mc
to	to	ii
around	around	rg
75	75	mc
caribou	caribou	nn
.	.	y
BIGHORN	bighorn	vv0_np1
SHEEP	sheep	nn
//	//	x
The	the	at
Mule	mule	nn1
Deer	deer	nn
Dive	dive	vv0_nn1
Photograph	photograph	nn1
While	while	cs_nnt1@
whitetails	whitetail	nn2
boom	boom	nn1
,	,	y
mule	mule	nn1
deer	deer	nn
are	be	vbr
going	go	vvg
bust	bust	jj
.	.	y
This	this	dd1
year	year	nnt1
,	,	y
biologists	biologist	nn2
expect	expect	vv0
a	a	at1
slight	slight	jj
bump	bump	nn1
in	in	ii
fawn	fawn	jj_nn1
recruitment	recruitment	nn1
,	,	y
but	but	ccb
it	it	pph1
wo	will	vm
n't	n't	xx
be	be	vbi
enough	enough	dd
to	to	to
break	break	vvi
the	the	at
muley	muley	nn1
's	's	ge
30-year	30-year	jj
slide	slide	nn1
.	.	y
//	//	x
Disease	disease	nn1
outbreaks	outbreak	nn2
caused	cause	vvn
by	by	ii
domestic	domestic	jj
livestock	livestock	nn
have	have	vh0
ravaged	ravage	vvn
some	some	dd
of	of	io
the	the	at
best	best	jjt
herds	herd	nn2
of	of	io
bighorns	bighorn	nn2
in	in	ii
the	the	at
past	past	jj_nn1
few	few	da2
years	year	nnt2
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
remained	remain	vvn
consistent	consistent	jj
thanks	thanks	nn2
to	to	ii
growth	growth	nn1
in	in	ii
other	other	jj_nn1@
,	,	y
more	more	rgr
isolated	isolated	jj
herds	herd	nn2
and	and	cc
relocation	relocation	nn1
efforts	effort	nn2
to	to	to
put	put	vvi
animals	animal	nn2
back	back	rp
onto	onto	ii
their	their	appge
historic	historic	jj
ranges	range	nn2
.	.	y
This	this	dd1
is	be	vbz
particularly	particularly	rr
true	true	jj
of	of	io
the	the	at
desert	desert	nn1
bighorn	bighorn	nn1
.	.	y
In	in	ii
the	the	at
Lower	low	jjr
48	48	mc
,	,	y
the	the	at
odds	odds	nn2
of	of	io
drawing	draw	vvg
a	a	at1
tag	tag	nn1
are	be	vbr
on	on	ii
a	a	at1
par	par	nn1
with	with	iw
hitting	hit	vvg
the	the	at
Powerball	powerball	nn1_np1
Lottery-or	lottery-or	cc
you	you	ppy
can	can	vm
spend	spend	vvi
a	a	at1
lottery-sized	lottery-sized	jj
wad	wad	nn1
to	to	to
get	get	vvi
one	one	mc1
of	of	io
the	the	at
fund-raiser	fund-raiser	nn1
tags	tag	nn2
offered	offer	vvn_vvd
in	in	ii_rp@
some	some	dd
western	western	jj
states	state	nn2
.	.	y
Desert	desert	vv0_nn1
sheep	sheep	nn
tags	tag	nn2
are	be	vbr
nearly	nearly	rr
impossible	impossible	jj
to	to	to
draw	draw	vvi
,	,	y
often	often	rr
with	with	iw
odds	odds	nn2
approaching	approach	vvg
500	500	mc
to	to	ii
1	1	mc1
.	.	y
Auction	auction	nn1_vv0@
and	and	cc
Mexican	mexican	jj
tags	tag	nn2
are	be	vbr
n't	n't	xx
much	much	rr_da1
better	better	jjr
,	,	y
since	since	cs
their	their	appge
price	price	nn1
can	can	vm
reach	reach	vvi
above	above	ii_rl
$50,000	$50,000	nnu
.	.	y
But	but	ccb
hunters	hunter	nn2
are	be	vbr
drawn	draw	vvn
each	each	dd1
year	year	nnt1
,	,	y
and	and	cc
many	many	da2
of	of	io
us	us	ppio2
apply	apply	vv0
annually	annually	rr
,	,	y
hoping	hope	vvg
for	for	if
that	that	dd1
lightning	lightning	nn1
strike	strike	nn1
.	.	y
Much	much	da1
of	of	io
Canada	canada	np1
's	's	ge
and	and	cc
Alaska	alaska	np1
's	's	ge
sheep	sheep	nn
populations	population	nn2
are	be	vbr
comparatively	comparatively	rr
stable-fluctuating	stable-fluctuating	jj_nn1
more	more	rrr
at	at	ii
the	the	at
dictates	dictate	nn2
of	of	io
seasonal	seasonal	jj
weather	weather	nn1
patterns	pattern	nn2
than	than	csn
of	of	io
man	man	nn1
.	.	y
The	the	at
good	good	jj
news	news	nn1
is	be	vbz
that	that	cst
a	a	at1
hunter	hunter	nn1
of	of	io
means	mean	nn
can	can	vm
still	still	rr
hunt	hunt	vvi
three	three	mc
of	of	io
the	the	at
Grand	grand	jj
Slam	slam	nn1
species-Rocky	species-rocky	jj
Mountain	mountain	nn1
,	,	y
Stone	stone	nn1_np1@
and	and	cc
Dall	dall	np1_vv0@
sheep-by	sheep-by	nn
reserving	reserving	jj_vvg
space	space	nn1
with	with	iw
an	a	at1
outfitter	outfitter	nn1
.	.	y
GRIZZLY	grizzly	jj_nn1
BEARS/	bears/	fu
BROWN	brown	jj
BEARS	bear	nn2
Because	because	ii21
of	of	ii22
extremely	extremely	rr
conservative	conservative	jj
management	management	nn1
,	,	y
the	the	at
population	population	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
much	much	da1
of	of	io
their	their	appge
range	range	nn1
,	,	y
and	and	cc
the	the	at
opportunity	opportunity	nn1
for	for	if
shooting	shoot	vvg
a	a	at1
very	very	rg
large	large	jj
bear	bear	nn1
is	be	vbz
excellent	excellent	jj
.	.	y
Grizzly	grizzly	nn1_jj
and	and	cc
brown	brown	jj
bears	bear	nn2
are	be	vbr
basically	basically	rr
the	the	at
same	same	da
animal	animal	nn1
;	;	y
it	it	pph1
's	be	vbz
just	just	rr
that	that	cst
grizzlies	grizzly	nn2
are	be	vbr
an	a	at1
interior	interior	jj_nn1
species	species	nn
that	that	cst
does	do	vdz
n't	n't	xx
enjoy	enjoy	vvi
access	access	nn1
to	to	ii
ample	ample	jj
salmon	salmon	nn
runs	run	vvz_nn2
as	as	ii
part	part	nn1
of	of	io
its	its	z'
diet	diet	nn1
.	.	y
That	that	dd1
concentrated	concentrated	jj_vvd_vvn
,	,	y
high-protein	high-protein	jj_nn1
food	food	nn1
source	source	nn1
is	be	vbz
why	why	rrq
coastal	coastal	jj
browns	brown	nn2
get	get	vv0
so	so	rg_rr
big	big	jj
.	.	y
The	the	at
extinct	extinct	jj
California	california	np1
grizzly	grizzly	nn1
was	be	vbdz
also	also	rr
huge	huge	jj
because	because	ii21
of	of	ii22
the	the	at
massive	massive	jj
runs	run	nn2
of	of	io
fish	fish	nn
California	california	np1
's	's	ge
rivers	river	nn2
once	once	rr
held	hold	vvn_vvd
.	.	y
There	there	ex
are	be	vbr
only	only	rr
two	two	mc
places	place	nn2
to	to	to
hunt	hunt	vvi
brown	brown	jj
bears-Kodiak	bears-kodiak	np1
Island	island	nn1
and	and	cc
the	the	at
Alaskan	alaskan	jj_nn1@
Peninsula-and	peninsula	cc
because	because	cs
permits	permit	nn2
are	be	vbr
issued	issue	vvn
in	in	ii_rp@
very	very	rg
limited	limited	jj
numbers	number	nn2
,	,	y
huge	huge	jj
bears	bear	nn2
are	be	vbr
killed	kill	vvn
each	each	dd1
year	year	nnt1
.	.	y
In	in	ii
the	the	at
Lower	low	jjr
48	48	mc
,	,	y
the	the	at
USFWS	usfws	np2_nn2
estimates	estimate	vvz
the	the	at
grizzly	grizzly	jj_nn1
population	population	nn1
is	be	vbz
approaching	approach	vvg
1,000	1,000	mc
animals	animal	nn2
,	,	y
and	and	cc
it	it	pph1
is	be	vbz
considering	considering	ii_cs_rr@
proposing	propose	vvg
the	the	at
delisting	delisting	nn1@
of	of	io
the	the	at
species	species	nn
in	in	ii
the	the	at
Greater	greater	np1_jjr
Yellowstone	yellowstone	np1
Ecosystem	ecosystem	np1
(	(	y
see	see	vv0
"	"	y
Sportmen	sportmen	np1_nn2
's	's	ge
Voices	voice	nn2
,	,	y
"	"	y
page	page	nn1
66	66	mc
)	)	y
.	.	y
ELK	elk	np1_vv0_nn1
Photograph	photograph	nn1
Feeling	feel	vvg_nn1
lucky	lucky	jj
?	?	y
To	to	to
hunt	hunt	vvi
sheep	sheep	nn
in	in	ii
the	the	at
Lower	low	jjr
48	48	mc
,	,	y
a	a	at1
guy	guy	nn1
has	have	vhz
to	to	to
be	be	vbi
very	very	rg
