##4000077		
Research	research	nn1_vv0@
responses	response	nn2
to	to	ii
disturbance	disturbance	nn1
)	)	y
.	.	y
They	they	pphs2
identify	identify	vv0
four	four	mc
primary	primary	jj
mechanisms	mechanism	nn2
,	,	y
shared	share	vvn_vvd
across	across	ii
all	all	db
domains	domain	nn2
,	,	y
that	that	dd1_cst
can	can	vm
directly	directly	rr
couple	couple	vvi
functional	functional	jj
groups	group	nn2
and	and	cc
,	,	y
to	to	ii
a	a	at1
lesser	lesser	jj
extent	extent	nn1
,	,	y
species	species	nn
above	above	rl
and	and	cc
below	below	ii
the	the	at
surface	surface	nn1
.	.	y
However	however	rr
,	,	y
the	the	at
authors	author	nn2
also	also	rr
report	report	vv0@
some	some	dd
evidence	evidence	nn1
against	against	ii
,	,	y
and	and	cc
mechanisms	mechanism	nn2
that	that	cst_dd1
may	may	vm
limit	limit	vvi
,	,	y
correlations	correlation	nn2
between	between	ii
above-surface	above-surface	nn1_jj
and	and	cc
below-surface	below-surface	jj_nn1
biodiversity	biodiversity	nn1
.	.	y
The	the	at
final	final	nn1_jj
three	three	mc
papers	paper	nn2
predict	predict	vv0
that	that	cst_dd1
global	global	jj
change	change	nn1
will	will	vm
exert	exert	vvi
large	large	jj
effects	effect	nn2
on	on	ii
biodiversity	biodiversity	nn1
within	within	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
sediments	sediment	nn2
(	(	y
Lake	lake	nn1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
)	)	y
,	,	y
and	and	cc
marine	marine	jj
sediments	sediment	nn2
(	(	y
Smith	smith	np1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
)	)	y
by	by	ii
altering	alter	vvg
resource	resource	nn1
supply	supply	nn1_vv0
from	from	ii
above	above	rl_ii
the	the	at
surface	surface	nn1
and	and	cc
disrupting	disrupt	vvg_jj@
specific	specific	jj
biotic	biotic	jj
interactions	interaction	nn2
.	.	y
By	by	ii
analyzing	analyze	vvg
the	the	at
feedbacks	feedback	nn2
between	between	ii
above-surface	above-surface	nn1_jj
and	and	cc
below-surface	below-surface	jj_nn1
biodiversity	biodiversity	nn1
,	,	y
the	the	at
papers	paper	nn2
provide	provide	vv0
a	a	at1
more	more	rgr
complete	complete	jj
framework	framework	nn1
for	for	if
assessing	assess	vvg
scenarios	scenario	nn2
of	of	io
global	global	jj
change	change	nn1
than	than	csn
do	do	vd0
studies	study	nn2
that	that	cst
examine	examine	vv0
above-surface	above-surface	jj_nn1
or	or	cc
below-surface	below-surface	jj_nn1
responses	response	nn2
alone	alone	rr_jj
.	.	y
Correlations	correlation	nn2
between	between	ii
above-surface	above-surface	nn1_jj
and	and	cc
below-surface	below-surface	jj_nn1
biodiversity	biodiversity	nn1
<p>	<p>	y
Whether	whether	csw
patterns	pattern	nn2
of	of	io
above-surface	above-surface	nn1_jj
and	and	cc
below-surface	below-surface	jj_nn1
biodiversity	biodiversity	nn1
are	be	vbr
correlated	correlate	vvn
across	across	ii
space	space	nn1
and	and	cc
time	time	nnt1
will	will	vm
depend	depend	vvi
on	on	ii
similarities	similarity	nn2
in	in	ii
their	their	appge
response	response	nn1
to	to	ii
environmental	environmental	jj
gradients	gradient	nn2
or	or	cc
disturbance	disturbance	nn1
and	and	cc
the	the	at
nature	nature	nn1
of	of	io
interactions	interaction	nn2
among	among	ii
biota	biota	nn2
across	across	ii
the	the	at
soil	soil	nn1
and	and	cc
sediment	sediment	nn1
surface	surface	nn1
.	.	y
Some	some	dd
factors	factor	nn2
will	will	vm
promote	promote	vvi
correlations	correlation	nn2
whereas	whereas	cs
others	others	nn2
will	will	vm
limit	limit	vvi
their	their	appge
expression	expression	nn1
(	(	y
Box	box	nn1
1	1	mc1
)	)	y
.	.	y
In	in	ii
all	all	db
domains	domain	nn2
,	,	y
participants	participant	nn2
found	find	vvd_vvn
evidence	evidence	nn1
both	both	rr
for	for	if
and	and	cc
against	against	ii
correlations	correlation	nn2
in	in	ii
above-surface	above-surface	nn1_jj
and	and	cc
below-surface	below-surface	jj_nn1
biodiversity	biodiversity	nn1
(	(	y
Box	box	nn1
2	2	mc
)	)	y
.	.	y
Comparisons	comparison	nn2
of	of	io
biodiversity	biodiversity	nn1
patterns	pattern	nn2
are	be	vbr
hampered	hamper	vvn
by	by	ii
extremely	extremely	rr
limited	limited	jj_vvn
knowledge	knowledge	nn1
of	of	io
below-surface	below-surface	jj_nn1
biodiversity	biodiversity	nn1
,	,	y
especially	especially	rr
at	at	rr21
large	large	rr22
spatial	spatial	jj
scales	scale	nn2
and	and	cc
particularly	particularly	rr
in	in	ii
sediments	sediment	nn2
.	.	y
Ecological	ecological	jj
mechanisms	mechanism	nn2
<p>	<p>	y
Across	across	ii
terrestrial	terrestrial	jj
,	,	y
freshwater	freshwater	jj
,	,	y
and	and	cc
marine	marine	jj
domains	domain	nn2
,	,	y
four	four	mc
primary	primary	jj
mechanisms	mechanism	nn2
were	be	vbdr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
interface	interface	nn1
may	may	vm
influence	influence	vvi
biodiversity	biodiversity	nn1
at	at	ii
the	the	at
other	other	jj_nn1@
:	:	y
Resource	resource	vv0_nn1
supply	supply	nn1_vv0
:	:	y
Primary	primary	jj
producers	producer	nn2
and	and	cc
decomposers	decomposer	nn2
play	play	vv0
a	a	at1
vital	vital	jj
role	role	nn1
in	in	ii
connecting	connecting	jj_vvg
above-	above-	nn1_jj
and	and	cc
below-surface	below-surface	jj_nn1
organisms	organism	nn2
through	through	ii
resource	resource	nn1
supply	supply	nn1
.	.	y
Timing	timing	nn1
,	,	y
amount	amount	nn1
,	,	y
and	and	cc
quality	quality	nn1
of	of	io
these	these	dd2
resources	resource	nn2
can	can	vm
be	be	vbi
key	key	jj
variables	variable	nn2
determining	determine	vvg_jj
community	community	nn1
composition	composition	nn1
across	across	ii
the	the	at
surface	surface	nn1
interface	interface	nn1
.	.	y
In	in	rr21
general	general	rr22
,	,	y
the	the	at
presence	presence	nn1
of	of	io
a	a	at1
resource	resource	nn1
across	across	ii
the	the	at
interface	interface	nn1
enhances	enhance	vvz
biodiversity	biodiversity	nn1
relative	relative	ii21
to	to	ii22
when	when	rrq
the	the	at
resource	resource	nn1
is	be	vbz
absent	absent	jj
.	.	y
However	however	rr
,	,	y
an	a	at1
overabundant	overabundant	jj_nn1
supply	supply	nn1
of	of	io
a	a	at1
resource	resource	nn1
,	,	y
or	or	cc
toxic	toxic	jj
substances	substance	nn2
associated	associate	vvn
with	with	iw
some	some	dd
producers	producer	nn2
,	,	y
can	can	vm
decrease	decrease	vvi
diversity	diversity	nn1
of	of	io
the	the	at
consumer	consumer	nn1
community	community	nn1
across	across	ii
the	the	at
surface	surface	nn1
interface	interface	nn1
.	.	y
For	for	rex21
example	example	rex22
,	,	y
toxic	toxic	jj
algal	algal	jj
blooms	bloom	nn2
can	can	vm
reduce	reduce	vvi
diversity	diversity	nn1
of	of	io
sediment	sediment	nn1
biota	biota	nn2
(	(	y
Palmer	palmer	np1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
,	,	y
Snelgrove	snelgrove	np1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
)	)	y
,	,	y
and	and	cc
terrestrial	terrestrial	jj
plant	plant	nn1
community	community	nn1
diversity	diversity	nn1
may	may	vm
decrease	decrease	vvi
with	with	iw
enhanced	enhanced	jj
nutrient	nutrient	nn1_jj@
availability	availability	nn1
(	(	y
Hooper	hooper	np1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
)	)	y
.	.	y
Physical	physical	jj
and	and	cc
structural	structural	jj
habitat	habitat	nn1
heterogeneity	heterogeneity	nn1
:	:	y
Organisms	organism	nn2
such	such	ii21
as	as	ii22
macrophytes	macrophyte	nn2
,	,	y
burrowing	burrow	vvg
animals	animal	nn2
,	,	y
and	and	cc
large	large	jj
animals	animal	nn2
that	that	cst
wade	wade	vv0
,	,	y
wallow	wallow	vv0_nn1
,	,	y
or	or	cc
dig	dig	vv0_nn1@
can	can	vm
increase	increase	vvi
the	the	at
structural	structural	jj
heterogeneity	heterogeneity	nn1
of	of	io
soils	soil	nn2
and	and	cc
sediments	sediment	nn2
,	,	y
which	which	ddq
is	be	vbz
generally	generally	rr
believed	believe	vvn_vvd
to	to	to
increase	increase	vvi
the	the	at
biotic	biotic	jj
diversity	diversity	nn1
of	of	io
soil-and	soil	cc
sediment-dwelling	sediment-dwelling	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
diversity	diversity	nn1
of	of	io
some	some	dd
functional	functional	jj
groups	group	nn2
.	.	y
For	for	rex21
instance	instance	rex22
,	,	y
as	as	csa
Snelgrove	snelgrove	np1
et	et	ra21
al	al	ra22
.	.	y
(	(	y
2000	2000	mc
)	)	y
report	report	nn1_vv0@
,	,	y
the	the	at
roots	root	nn2
of	of	io
seagrasses	seagrasses	nn2
can	can	vm
exclude	exclude	vvi
burrowing	burrow	vvg_jj@
organisms	organism	nn2
.	.	y
Excessive	excessive	jj
disturbance	disturbance	nn1
to	to	to
soil	soil	vvi
and	and	cc
sediment	sediment	nn1
can	can	vm
also	also	rr
reduce	reduce	vvi
below-surface	below-surface	jj
structural	structural	jj
heterogeneity	heterogeneity	nn1
and	and	cc
biodiversity	biodiversity	nn1
.	.	y
Organism	organism	nn1
interactions	interaction	nn2
:	:	y
Predators	predator	nn2
,	,	y
herbivores	herbivore	nn2_vvz
,	,	y
and	and	cc
symbionts	symbionts	vvz_nn2
directly	directly	rr
connect	connect	vv0
functional	functional	jj
groups	group	nn2
or	or	cc
species	species	nn
across	across	ii
the	the	at
soil	soil	nn1
or	or	cc
sediment	sediment	nn1
surface	surface	nn1
.	.	y
These	these	dd2
interactions	interaction	nn2
may	may	vm
increase	increase	vvi
,	,	y
decrease	decrease	vvi
,	,	y
or	or	cc
result	result	vvi
in	in	ii
no	no	at
change	change	nn1
in	in	ii
biodiversity	biodiversity	nn1
across	across	ii
the	the	at
surface	surface	nn1
.	.	y
Hooper	hooper	np1
et	et	ra21
al	al	ra22
.	.	y
(	(	y
2000	2000	mc
)	)	y
note	note	vv0
that	that	cst_dd1
in	in	ii
terrestrial	terrestrial	jj
domains	domain	nn2
,	,	y
predation	predation	nn1
can	can	vm
reduce	reduce	vvi
the	the	at
abundance	abundance	nn1
of	of	io
dominant	dominant	jj
animal	animal	nn1
species	species	nn
across	across	ii
the	the	at
interface	interface	nn1
,	,	y
allowing	allow	vvg
subordinate	subordinate	jj
species	species	nn
to	to	to
flourish	flourish	vvi
.	.	y
Snelgrove	snelgrove	vv0_np1@
et	et	ra21
al	al	ra22
.	.	y
(	(	y
2000	2000	mc
)	)	y
suggest	suggest	vv0
that	that	cst_dd1
in	in	ii
marine	marine	jj
domains	domain	nn2
,	,	y
predation	predation	nn1
may	may	vm
reduce	reduce	vvi
species	species	nn
biodiversity	biodiversity	nn1
by	by	ii
eliminating	eliminate	vvg
slow-growing	slow-growing	jj
and	and	cc
rare	rare	jj
species	species	nn
but	but	ccb
note	note	vv0
that	that	dd1_cst
exclusion	exclusion	nn1
experiments	experiment	nn2_vvz@
in	in	ii
some	some	dd
communities	community	nn2
have	have	vh0
shown	show	vvn
predator	predator	nn1
and	and	cc
prey	prey	nn1_vv0@
communities	community	nn2
across	across	ii
the	the	at
marine	marine	jj
sediment	sediment	nn1
surface	surface	nn1
to	to	to
operate	operate	vvi
relatively	relatively	rr
independently	independently	rr
.	.	y
Cross-surface	cross-surface	jj_nn1
migration	migration	nn1
:	:	y
Many	many	da2
organisms	organism	nn2
within	within	ii
soils	soil	nn2
and	and	cc
sediments	sediment	nn2
migrate	migrate	vv0
across	across	ii
the	the	at
soil	soil	nn1
or	or	cc
sediment	sediment	nn1
surface	surface	nn1
,	,	y
at	at	ii
short	short	jj
time	time	nnt1
scales	scale	nn2
from	from	ii
minutes	minute	nnt2
to	to	ii
hours	hour	nnt2
(	(	y
e.g.	eg	rex
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
their	their	appge
life	life	nn1
cycle	cycle	nn1
(	(	y
e.g.	eg	rex
,	,	y
larvae	larva	nn2
of	of	io
many	many	da2
terrestrial	terrestrial	jj
insects	insect	nn2
reside	reside	vv0
in	in	ii_rp@
soils	soil	nn2
or	or	cc
freshwater	freshwater	jj
sediments	sediment	nn2
while	while	cs
their	their	appge
adult	adult	nn1
,	,	y
reproductive	reproductive	jj
phases	phase	nn2
live	live	vv0_jj
above-surface	above-surface	nn1_jj
;	;	y
conversely	conversely	rr
,	,	y
larvae	larva	nn2
of	of	io
bivalves	bivalve	nn2
and	and	cc
hydrozoans	hydrozoans	nn2
occupy	occupy	vv0
the	the	at
water	water	nn1
column	column	nn1
while	while	cs
their	their	appge
adult	adult	nn1_jj@
form	form	nn1
settles	settle	vvz
on	on	ii
the	the	at
sediments	sediment	nn2
)	)	y
.	.	y
At	at	ii
each	each	dd1
side	side	nn1
of	of	io
the	the	at
interface	interface	nn1
,	,	y
they	they	pphs2
will	will	vm
influence	influence	vvi
biodiversity	biodiversity	nn1
directly	directly	rr
by	by	ii
their	their	appge
presence	presence	nn1
and	and	cc
indirectly	indirectly	rr
by	by	ii
their	their	appge
interactions	interaction	nn2
with	with	iw
other	other	jj
organisms	organism	nn2
.	.	y
Snelgrove	snelgrove	vv0_np1@
et	et	ra21
al	al	ra22
.	.	y
(	(	y
2000	2000	mc
)	)	y
and	and	cc
Palmer	palmer	np1
et	et	ra21
al	al	ra22
.	.	y
(	(	y
2000	2000	mc
)	)	y
emphasized	emphasize	vvd
the	the	at
importance	importance	nn1
of	of	io
these	these	dd2
migrations	migration	nn2
in	in	ii
linking	link	vvg
biodiversity	biodiversity	nn1
above	above	rl
and	and	cc
below	below	ii
the	the	at
surface	surface	nn1
of	of	io
sediments	sediment	nn2
.	.	y
<p>	<p>	y
These	these	dd2
four	four	mc
mechanisms	mechanism	nn2
will	will	vm
involve	involve	vvi
direct	direct	jj_rr@
biotic	biotic	jj
interactions	interaction	nn2
among	among	ii
organisms	organism	nn2
across	across	ii
the	the	at
surface	surface	nn1
interface	interface	nn1_vv0
,	,	y
or	or	cc
indirect	indirect	jj
biotic	biotic	jj_nn1@
or	or	cc
abiotic	abiotic	jj
stages	stage	nn2
(	(	y
Palmer	palmer	np1
et	et	ra21
al	al	ra22
.	.	y
2000	2000	mc
)	)	y
operate	operate	vv0
at	at	ii
various	various	jj
degrees	degree	nn2
of	of	io
specificity	specificity	nn1
,	,	y
defined	define	vvn
by	by	ii
Hooper	hooper	np1
et	et	ra21
al	al	ra22
.	.	y
(	(	y
2000	2000	mc
)	)	y
as	as	csa_rg@
one-to-one	one-to-one	jj_rr
(	(	y
1:1	1:1	mc
)	)	y
species	species	nn
linkages	linkage	nn2
(	(	y
e.g.	eg	rex
,	,	y
specific	specific	jj
mutualism	mutualism	nn1
,	,	y
parasitism	parasitism	nn1
,	,	y
and	and	cc
predation	predation	nn1
,	,	y
or	or	cc
supply	supply	nn1
of	of	io
key	key	jj_nn1
resource	resource	nn1
by	by	ii
one	one	mc1
species	species	nn
to	to	ii
another	another	dd1
)	)	y
;	;	y
one-to-many	one-to-many	j
species	species	nn
linkages	linkage	nn2
(	(	y
e.g.	eg	rex
,	,	y
when	when	cs_rrq
one	one	mc1
species	species	nn
or	or	cc
functional	functional	jj
group	group	nn1
supplies	supply	vvz
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
)	)	y
;	;	y
or	or	cc
many-to-many	many-to-many	da2
linkages	linkage	nn2
(	(	y
e.g.	eg	rex
,	,	y
where	where	cs_rrq
high	high	jj
diversity	diversity	nn1
at	at	ii
one	one	mc1
side	side	nn1
of	of	io
the	the	at
surface	surface	nn1
supplies	supply	vvz
diverse	diverse	jj
resources	resource	nn2
that	that	cst
promote	promote	vv0
high	high	jj
diversity	diversity	nn1
at	at	ii
the	the	at
other	other	jj
side	side	nn1
)	)	y
operate	operate	vv0
to	to	to
increase	increase	vvi
,	,	y
decrease	decrease	vv0_nn1
,	,	y
or	or	cc
have	have	vh0
no	no	at
effect	effect	nn1
on	on	ii
biodiversity	biodiversity	nn1
across	across	ii
the	the	at
soil	soil	nn1
or	or	cc
sediment	sediment	nn1
surface	surface	nn1
<p>	<p>	y
Specific	specific	jj
examples	example	nn2
of	of	io
how	how	rgq@_rrq
particular	particular	jj
species	species	nn
,	,	y
functional	functional	jj
groups	group	nn2
,	,	y
or	or	cc
communities	community	nn2
on	on	ii
one	one	mc1
side	side	nn1
of	of	io
the	the	at
soil	soil	nn1
or	or	cc
sediment	sediment	nn1
surface	surface	nn1
influence	influence	vv0
those	those	dd2
on	on	ii
the	the	at
other	other	jj_nn1@
through	through	ii
these	these	dd2
mechanisms	mechanism	nn2
are	be	vbr
provided	provide	vvn
in	in	ii
the	the	at
first	first	md
three	three	mc
papers	paper	nn2
in	in	ii
this	this	dd1
issue	issue	nn1
.	.	y
They	they	pphs2
yield	yield	vv0
many	many	da2
more	more	dar
examples	example	nn2
of	of	io
connections	connection	nn2
from	from	ii
above-surface	above-surface	nn1
to	to	ii
below-surface	below-surface	nn1
biota	biota	nn2
than	than	csn
vice	vice	rr21
versa	versa	rr22
,	,	y
probably	probably	rr
reflecting	reflect	vvg
our	our	appge
biased	biased	jj
knowledge	knowledge	nn1
of	of	io
,	,	y
and	and	cc
research	research	nn1_vv0@
focus	focus	vv0_nn1
on	on	rp@_ii
,	,	y
mechanisms	mechanism	nn2
that	that	cst
originate	originate	vv0
above	above	ii_rl
the	the	at
surface	surface	nn1
.	.	y
Most	most	dat
studies	study	nn2
cited	cite	vvd_vvn
were	be	vbdr
of	of	io
interactions	interaction	nn2
in	in	ii
which	which	ddq
the	the	at
presence	presence	nn1
of	of	io
a	a	at1
particular	particular	jj
species	species	nn
or	or	cc
functional	functional	jj
group	group	nn1
provides	provide	vvz
a	a	at1
resource	resource	nn1
that	that	cst_dd1
can	can	vm
support	support	vvi
a	a	at1
suite	suite	nn1
of	of	io
organisms	organism	nn2
across	across	ii
the	the	at
surface	surface	nn1
(	(	y
one-to-many	one-to-many	j
interactions	interaction	nn2
)	)	y
.	.	y
Less	less	rrr
was	be	vbdz
known	know	vvn
about	about	ii
the	the	at
extent	extent	nn1
to	to	ii
which	which	ddq
biodiversity	biodiversity	nn1
above	above	rl
and	and	cc
below	below	ii
the	the	at
surface	surface	nn1
is	be	vbz
linked	link	vvn
by	by	ii
species-specific	species-specific	jj
couplings	coupling	nn2
(	(	y
1:1	1:1	mc
interactions	interaction	nn2
)	)	y
,	,	y
or	or	cc
whether	whether	csw
high	high	jj
species	species	nn
diversity	diversity	nn1
on	on	ii
one	one	mc1
side	side	nn1
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
many-to-many	many-to-many	da2
interactions	interaction	nn2
)	)	y
.	.	y
<p>	<p>	y
Important	important	jj
differences	difference	nn2
in	in	ii
the	the	at
processes	process	nn2
connecting	connect	vvg_jj
biota	biota	nn2
above	above	rl
and	and	cc
below	below	ii
the	the	at
surface	surface	nn1
of	of	io
soils	soil	nn2
and	and	cc
sediments	sediment	nn2
within	within	rl@_ii
and	and	cc
across	across	ii
domains	domain	nn2
were	be	vbdr
also	also	rr
revealed	reveal	vvn_vvd
.	.	y
For	for	rex21
example	example	rex22
,	,	y
in	in	ii
shallow	shallow	jj
vegetated	vegetated	jj@_vvd
aquatic	aquatic	jj
habitats	habitat	nn2
,	,	y
biota	biota	nn2
above	above	rl
and	and	cc
below	below	ii
the	the	at
sediment	sediment	nn1
surface	surface	nn1
are	be	vbr
coupled	couple	vvn
through	through	ii
inputs	input	nn2
of	of	io
complex	complex	jj
organic	organic	jj
matter	matter	nn1
,	,	y
structural	structural	jj
effects	effect	nn2
of	of	io
macrophytes	macrophyte	nn2
on	on	ii
sediments	sediment	nn2
,	,	y
and	and	cc
refuge	refuge	nn1
from	from	ii
predation	predation	nn1
offered	offer	vvn
by	by	ii
the	the	at
canopy	canopy	nn1
.	.	y
However	however	rr
,	,	y
in	in	ii_rp@
deeper	deep	rrr_jjr
nonvegetated	nonvegetated	vvd_jj@
aquatic	aquatic	jj
habitats	habitat	nn2
,	,	y
these	these	dd2
effects	effect	nn2
are	be	vbr
absent	absent	jj
.	.	y
In	in	ii
marine	marine	jj_nn1@
and	and	cc
freshwater	freshwater	jj
habitats	habitat	nn2
,	,	y
filter-feeding	filter-feeding	nn1
bivalves	bivalve	nn2
living	live	vvg
both	both	db2_rr
in	in	rp@_ii
and	and	cc
on	on	ii
the	the	at
sediment	sediment	nn1
can	can	vm
exert	exert	vvi
strong	strong	jj
effects	effect	nn2
on	on	ii
biota	biota	nn2
in	in	ii
the	the	at
water	water	nn1
column	column	nn1
,	,	y
altering	alter	vvg
their	their	appge
abundance	abundance	nn1
and	and	cc
composition	composition	nn1
,	,	y
stripping	strip	vvg_jj@
phytoplankton	phytoplankton	nn1
from	from	ii
the	the	at
water	water	nn1
column	column	nn1
,	,	y
and	and	cc
shifting	shift	vvg
the	the	at
entire	entire	jj
nutrient	nutrient	nn1_jj@
status	status	nn1
and	and	cc
functioning	functioning	nn1@_vvg
of	of	io
the	the	at
ecosystem	ecosystem	nn1
.	.	y
Filter	filter	nn1_vv0@
feeders	feeder	nn2
,	,	y
or	or	cc
an	a	at1
analogous	analogous	jj
functional	functional	jj
group	group	nn1
,	,	y
are	be	vbr
